Unnamed: 0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
BE,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
DK,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
DE,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
EL,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
ES,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
FR,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
IE,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
IT,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
LX,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
NL,0.0,62.7,26.4,16.9,18.7,25.3,16.1,20.2,51.0,80.3,59.4,154.4,252.6659,293.4689,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4,733.4
