,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4697040864255519,0.0234852043212776,47304.27430718648,2365.213715359324,25.0,1,-0.05,0.05,0.37547328101574,112.49438517686691,22.498877035373386,0,0.95,0.1,-0.05
Indirect Heating Oil,0.051667449506810716,0.002583372475340536,9925.786754344765,496.28933771723814,25.0,1,-0.05,0.05,0.4042120968341066,0.5141306382182295,0.1028261276436459,0,0.95,0.1,-0.05
Indirect Heating Gas,0.051667449506810716,0.002583372475340536,10937.153593236262,546.8576796618131,25.0,1,-0.05,0.05,0.4545001293492125,188.7862623994011,37.75725247988022,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.5805542508219822,0.029027712541099118,47304.27430718648,2365.213715359324,25.0,1,-0.05,0.05,0.3826514466822173,1.1979225154407642,0.2395845030881528,0,0.9,0.1,-0.05
Indirect Heating Electric,0.0751526538280883,0.003757632691404416,8416.53358384218,420.826679192109,25.0,1,-0.05,0.05,0.9,769.2957140183416,153.85914280366836,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.9394081728511038,0.0469704086425552,0.0,0.0,20.0,1,-0.05,0.05,0.4931738707021153,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),1.0267731329262564,0.05133865664631282,28853.63696759041,1442.681848379521,20.0,1,-0.432959407,0.05,3.0,769.2957140183416,153.85914280366836,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.20666979802724286,0.010333489901362142,5911.48896195397,295.5744480976985,15.0,1,-0.05,0.05,0.2457392545951674,112.49438517686691,22.498877035373386,0,0.9,0.1,-0.05
Direct Heating Oil,0.014091122592766556,0.0007045561296383277,2476.560058055425,123.82800290277126,15.0,1,-0.05,0.05,0.3966248273945267,0.5141306382182295,0.1028261276436459,0,0.9,0.1,-0.05
Direct Heating Gas,0.014091122592766556,0.0007045561296383277,2476.560058055425,123.82800290277126,15.0,1,-0.05,0.05,0.4294862775509355,188.7862623994011,37.75725247988022,0,0.95,0.1,-0.05
Direct Heating Biomass,0.20666979802724286,0.010333489901362142,5911.48896195397,295.5744480976985,15.0,1,-0.05,0.05,0.11289263143445169,1.1979225154407642,0.2395845030881528,0,0.9,0.1,-0.05
Direct Heating Electric,0.05636449037106622,0.002818224518553312,1482.2733677782996,74.11366838891499,12.5,1,-0.05,0.05,0.5715463629001298,769.2957140183416,153.85914280366836,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.9394081728511038,0.0469704086425552,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.1,-0.05
