,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Nuclear,0,0,6580,2632,6.789,2.715,30.321,12.128,60,9,0.95,1,1,1,0,-0.0862010350493039,0.05,0,0,1,0,0,1
2 Oil,0,0,2084,833.6,64.7,25.88,17.16,6.864,40,4,0.85,1,0.45,0.272616577445414,751.849659257691,-0.014499569695115,0.05,0,1,0,0,0.04,1
3 Coal,0,0,2294.518,917.807,9.127,3.651,33.74,13.496,40,4,0.85,1,0.4,0.416820041988634,760,-0.043943347587597,0.05,0,0,1,0,0.03,1
4 Coal + CCS,0,0,4015.648,1606.259,26.771,10.708,31.262,6.9,40,3,0.85,1,0.35,0.367198608418558,76,-0.0740005814437769,0.05,0,0,1,0,-0.07,1
5 Waste,0,0,2190.724,876.29,76.276,30.51,20.542,7.083,40,4,0.85,2,0.25,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,-0.01,1
6 Waste + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,40,4,0.85,2,0.15,0.273197310310639,0,-0.104697378666693,0.05,0,0,1,0,0,1
7 CCGT,0,0,676.807,270.723,52.194,20.878,8.018,3.207,25,2,0.85,1,0.565,0.513210825557584,370,-0.0588936890535685,0.05,0,1,0,0,-0.48,1.15
8 CCGT + CCS,0,0,2122.159,848.864,64.101,25.64,17.172,4.793,30,3,0.85,1,0.448,0.423173838617657,37,-0.0740005814437769,0.05,0,1,0,0,-0.01,1.15
9 OCGT,0,0,372.817,149.127,84.865,33.946,12.745,5.098,25,2,0,1,0.36,0.4,370,-0.0588936890535685,0.05,0,1,0,0,0,1.15
10 OCGT + CCS,0,0,1376.127,412.838,94.674,37.87,39.537,10.588,27,2,0,1,0.324,0.36,37,-0.0740005814437769,0.05,0,1,0,0,0,1.15
11 Biomass,0,0,6395.2,2558.08,91.76,36.704,49.3,19.72,25,2,0.85,2,0.32,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,-0.77,1
12 Biomass + CCS,0,0,10232.32,4092.928,146.816,58.726,78.88,31.552,25,2,0.85,2,0.3,0.273197310310639,-980.756756756756,-0.104697378666693,0.05,0,0,1,0,0.03,1
13 Large Hydro,0,0,2251.068,900.427,0,0,22.091,8.837,60,5,0.4,4,1,1,0,-0.0203404482841755,0.05,0,1,0,0,0.13,1.15
14 Pumped Hydro,0,0,2968.154,1013.523,0,0,55.507,9.788,46,6,0,5,0.75,0.75,0,-0.2,0.05,0,0,0,1,-0.03,1.15
15 Geothermal,0,0,4221.469,1279.739,0,0,16.296,8.391,40,2,0.85,3,1,1,0,-0.0740005814437769,0.05,0,0,1,0,0.25,1
16 Marine,0,0,9443,3777.2,0,0,60,20,25,2,0,3,1,1,0,-0.084,0.05,0,0,1,0,0,1
17 Onshore,0,0,1369,547.6,0,0,18.912,7.565,26,1,0.265,0,1,1,0,-0.194,0.055,1,0,0,0,0.14,0.85
18 Offshore,0,0,3138,1255.2,0,0,21.4,8.56,26,3,0.39,0,1,1,0,-0.194,0.087,1,0,0,0,-0.08,0.9
19 Solar PV,0,0,821,328.4,0,0,8.14,2.995,40,1,0.16,0,1,1,0,-0.319,0.041,1,0,0,0,0.27,0.85
20 CSP,0,0,5875.847,1982.387,0,0,28,11.2,25,2,0.32,0,0.2,0.2,0,-0.194,0.05,0,0,1,0,0,1
21 Fuel cells / Turbine,0,0,1023.628,142.481,9999,0,9.061,3.075,27,3,0.85,5,0.57,0.720295895519417,359.295311277135,-0.071,0.05,0,0,0,1,0,1
22 Lithium-ion,0,0,518.503,207.401,0,0,33.904,7.763,18,1,0,5,0.917,1,0,-0.168,0.05,0,0,0,1,0,1
