,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
2 O.energy own use & tra,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
3 Hydrogen production,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
4 Iron & steel,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
5 Non-ferrous metals,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
6 Chemicals,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
7 Non-metallics nes,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
8 Ore-extra.(non-energy),450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
"9 Food, drink & tob.",450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
"10 Tex., cloth. & footw.",450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
11 Paper & pulp,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
