,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.3703703703703704,0.4273504273504274,0.411522633744856,0.4444444444444444,0.4444444444444444,0.20202020202020202,0.24154589371980675,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.4273504273504274,0.32679738562091504,0.4444444444444444,0.411522633744856,0.6172839506172839
2 Oil,0.5208333333333334,0,0.625,0.625,0.625,0.625,1,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.45454545454545453,0.5434782608695652,0.625,1,1,0.9615384615384616,0.7352941176470589,1,0.9259259259259259,1.3888888888888888
3 Coal,0.4166666666666667,0.5,0,0.5,0.5,0.5,0.8,0.6666666666666667,0.7692307692307693,0.7407407407407407,0.8,0.8,0.36363636363636365,0.43478260869565216,0.5,0.8,0.8,0.7692307692307693,0.5882352941176471,0.8,0.7407407407407407,1.1111111111111112
4 Coal + CCS,0.6944444444444445,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6060606060606061,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.2820512820512822,0.9803921568627452,1.3333333333333333,1.2345679012345678,1.8518518518518519
5 Waste,0.5208333333333334,0.625,0.625,0.625,0,0.625,1,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.45454545454545453,0.5434782608695652,0.625,1,1,0.9615384615384616,0.7352941176470589,1,0.9259259259259259,1.3888888888888888
6 Waste + CCS,0.5208333333333334,0.625,0.625,0.625,0.625,0,1,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.45454545454545453,0.5434782608695652,0.625,1,1,0.9615384615384616,0.7352941176470589,1,0.9259259259259259,1.3888888888888888
7 CCGT,1.0416666666666667,1.25,1.25,1.25,1.25,1.25,0,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,0.9090909090909091,1.0869565217391304,1.25,2,2,1.9230769230769231,1.4705882352941178,2,1.8518518518518519,2.7777777777777777
8 CCGT + CCS,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,0,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6060606060606061,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.2820512820512822,0.9803921568627452,1.3333333333333333,1.2345679012345678,1.8518518518518519
9 OCGT,2.0833333333333335,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,0,3.7037037037037037,4,4,1.8181818181818181,2.1739130434782608,2.5,4,4,3.8461538461538463,2.9411764705882355,4,3.7037037037037037,5.555555555555555
10 OCGT + CCS,1.0416666666666667,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,1.9230769230769231,0,2,2,0.9090909090909091,1.0869565217391304,1.25,2,2,1.9230769230769231,1.4705882352941178,2,1.8518518518518519,2.7777777777777777
