,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
12 Engineering etc,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
13 Other industry,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
14 Construction,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
15 Rail transport,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
16 Road transport,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
17 Domestic aviation,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
18 Other transp. serv.,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
19 Households,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
"20 Agriculture, forestry",102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
21 Fishing,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
22 Other final use,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
23 Non-energy use,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
24 Aviation bunkers,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
25 Marine bunkers,102.4875,132.7153,111.4802,111.4802,111.4802,111.4802,111.4802,111.4802,114.8246,118.2693,121.8174,125.4719,129.236,133.1131,137.1065,141.2197,145.4563,149.82,154.3146,158.944,163.7123,168.6237,173.6824,178.8929,184.2596,189.7874,195.481,201.3455,207.3858,213.6074,220.0156,226.6161,233.4145,240.4169,247.6294,255.0583,262.7101,270.5914,278.7091,287.0704,295.6825,304.5529,313.6895,323.1002,332.7932,342.777,353.0603,363.6521,374.5616,385.7984,397.3724,409.2935,421.5724,434.2195,447.2461,460.6635,474.4834,488.7179,503.3794,518.4808,534.0352
