,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
12 Engineering etc,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
13 Other industry,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
14 Construction,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
15 Rail transport,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
16 Road transport,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
17 Domestic aviation,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
18 Other transp. serv.,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
19 Households,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
"20 Agriculture, forestry",731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
21 Fishing,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
22 Other final use,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
23 Non-energy use,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
24 Aviation bunkers,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
25 Marine bunkers,731.3252,839.9911,987.9679,987.9679,987.9679,987.9679,987.9679,987.9679,1204.5696,977.699,714.6595,735.7927,757.9888,781.191,805.42,830.7942,857.3479,885.0453,914.085,944.458,976.0835,1005.2427,1035.6171,1067.1031,1099.8461,1134.0314,1169.5743,1206.325,1244.7605,1284.7457,1326.2803,1369.608,1414.5066,1461.382,1509.9009,1560.5979,1613.3414,1668.499,1725.2931,1784.4382,1845.9808,1911.1058,1976.072,2047.1221,2117.6375,2195.0549,2271.0913,2353.2654,2437.9578,2525.9397,2617.2234,2712.6484,2811.6199,2915.0159,3022.5457,3133.7883,3250.0708,3370.6599,3496.6289,3627.2712,3763.4658
