,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Nuclear,0,0,6138.223,1801.861,9.098,3.639,24.668,8.606,48,9,0.95,1,1,1,0,-0.0862010350493039,0.075,0,0,1,0,0.01,1
2 Oil,0,0,2084,833.6,54.356,21.743,17.16,6.864,40,4,0.85,1,0.45,0.272616577445414,751.849659257691,-0.014499569695115,0.075,0,1,0,0,0.06,1
3 Coal,0,0,1979.932,662.266,19.317,7.727,14.321,4.434,40,4,0.85,1,0.4,0.416820041988634,760,-0.043943347587597,0.075,0,0,1,0,-0.31,1
4 Coal + CCS,0,0,3650.906,1226.111,26.771,10.708,31.262,6.9,40,3,0.85,1,0.35,0.367198608418558,76,-0.0740005814437769,0.075,0,0,1,0,0.03,1
5 Waste,0,0,2190.724,876.29,76.276,30.51,20.542,7.083,40,4,0.85,2,0.25,0.310115865758023,0,-0.0740005814437769,0.075,0,0,1,0,0.03,1
6 Waste + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,40,4,0.85,2,0.15,0.273197310310639,0,-0.104697378666693,0.075,0,0,1,0,0,1
7 CCGT,0,0,1046.133,313.109,58.109,23.244,8.806,2.871,25,2,0.85,1,0.565,0.513210825557584,370,-0.0588936890535685,0.075,0,1,0,0,-0.54,1.15
8 CCGT + CCS,0,0,1972.559,505.625,64.101,25.64,17.172,4.793,30,3,0.85,1,0.448,0.423173838617657,37,-0.0740005814437769,0.075,0,1,0,0,0.04,1.15
9 OCGT,0,0,718.767,239.522,88.031,35.212,16.633,5.793,26,2,0,1,0.36,0.4,370,-0.0588936890535685,0.075,0,1,0,0,0,1.15
10 OCGT + CCS,0,0,1376.127,412.838,94.674,37.87,39.537,10.588,27,2,0,1,0.324,0.36,37,-0.0740005814437769,0.075,0,1,0,0,0,1.15
11 Biomass,0,0,2909.057,899.832,60.791,24.316,20.542,7.083,25,2,0.85,2,0.32,0.310115865758023,0,-0.0740005814437769,0.075,0,0,1,0,0.06,1
12 Biomass + CCS,0,0,4676.529,1416.079,97.266,38.906,32.867,11.333,25,2,0.85,2,0.3,0.273197310310639,-980.756756756756,-0.104697378666693,0.075,0,0,1,0,0.03,1
13 Large Hydro,0,0,1961.636,784.655,0,0,12.84,4.165,55,5,0.4,4,1,1,0,-0.0203404482841755,0.075,0,1,0,0,0.14,1.15
14 Pumped Hydro,0,0,2968.154,1013.523,0,0,55.507,9.788,46,6,0,5,0.75,0.75,0,-0.2,0.075,0,0,0,1,0.04,1.15
15 Geothermal,0,0,4221.469,1279.739,0,0,16.296,8.391,40,2,0.85,3,1,1,0,-0.0740005814437769,0.075,0,0,1,0,-0.01,1
16 Marine,0,0,9443,3777.2,0,0,60,20,25,2,0,3,1,1,0,-0.084,0.075,0,0,1,0,0,1
17 Onshore,0,0,1628.292,537.579,0,0,12.351,3.979,25,1,0.265,0,1,1,0,-0.194,0.069,1,0,0,0,-0.14,0.85
18 Offshore,0,0,5996.292,1066.091,0,0,34.846,5.473,26,3,0.39,0,1,1,0,-0.194,0.069,1,0,0,0,0.04,0.9
19 Solar PV,0,0,945.955,290.684,0,0,9.7,2.618,34,1,0.16,0,1,1,0,-0.319,0.043,1,0,0,0,-0.34,0.85
20 CSP,0,0,5875.847,1982.387,0,0,22.256,8.702,25,2,0.32,0,0.2,0.2,0,-0.194,0.075,0,0,1,0,0.02,1
21 Fuel cells / Turbine,0,0,1023.628,142.481,9999,0,9.061,3.075,27,3,0.85,5,0.57,0.720295895519417,359.295311277135,-0.071,0.075,0,0,0,1,0,1
22 Lithium-ion,0,0,1017.989,264.52,0,0,33.904,7.763,18,1,0,5,0.917,1,0,-0.168,0.075,0,0,0,1,0,1
