,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.539548937088594,0.0269774468544297,54338.40509334197,2716.9202546670986,25.0,1,-0.05,0.05,0.6032181723294472,251.496417495455,50.29928349909101,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0593503830797453,0.0029675191539872,11401.748138556168,570.0874069278084,25.0,1,-0.05,0.05,0.4104466380752443,242.5088225858197,48.501764517163934,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0593503830797453,0.0029675191539872,12563.504909895328,628.1752454947664,25.0,1,-0.05,0.05,0.5897069941644886,423.01454389904814,84.60290877980964,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.6668824862415021,0.0333441243120751,54338.40509334197,2716.9202546670986,25.0,1,-0.05,0.05,0.4215786090837574,106.1203079884504,21.22406159769008,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.086327829934175,0.0043163914967087,9668.069493903098,483.40347469515496,25.0,1,-0.05,0.05,0.9,2057.24724628382,411.449449256764,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,1.079097874177188,0.0539548937088594,0.0,0.0,20.0,1,-0.05,0.05,0.7564230808345441,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),1.1794539764756664,0.0589726988237833,33144.163755260604,1657.2081877630303,20.0,1,-0.432959407,0.05,3.0,2057.24724628382,411.449449256764,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.2374015323189813,0.011870076615949,6790.525520664725,339.5262760332363,15.0,1,-0.05,0.05,0.7361764296768885,251.496417495455,50.29928349909101,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0161864681126578,0.0008093234056328,2844.823763677565,142.24118818387828,15.0,1,-0.05,0.05,0.4691698217339684,242.5088225858197,48.501764517163934,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0161864681126578,0.0008093234056328,2844.823763677565,142.24118818387828,15.0,1,-0.05,0.05,0.5507964532377393,423.01454389904814,84.60290877980964,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.2374015323189813,0.011870076615949,6790.525520664725,339.5262760332363,15.0,1,-0.05,0.05,0.5782944994141568,106.1203079884504,21.22406159769008,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0647458724506312,0.0032372936225315,1702.6869537067014,85.13434768533506,12.5,1,-0.05,0.05,0.5356442068262419,2057.24724628382,411.449449256764,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,1.079097874177188,0.0539548937088594,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
