,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4651162790697674,0.02325581395348837,46842.232558139534,2342.111627906977,25.0,1,-0.05,0.05,0.5079503514953966,136.9181818181818,27.38363636363637,0,0.95,0.1,-0.05
Indirect Heating Oil,0.05116279069767442,0.002558139534883721,9828.837209302326,491.44186046511635,25.0,1,-0.05,0.05,0.4542348646294967,110.5998181818182,22.11996363636364,0,0.95,0.1,-0.05
Indirect Heating Gas,0.05116279069767442,0.002558139534883721,10830.325581395351,541.5162790697676,25.0,1,-0.05,0.05,0.5897069941644886,368.1009090909091,73.6201818181818,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.5748837209302325,0.028744186046511636,46842.232558139534,2342.111627906977,25.0,1,-0.05,0.05,0.42157860908375744,90.4400909090909,18.08801818181818,0,0.9,0.1,-0.05
Indirect Heating Electric,0.07441860465116279,0.0037209302325581397,8334.325581395351,416.7162790697676,25.0,1,-0.05,0.05,0.9,980.434909090909,196.0869818181818,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.9302325581395348,0.04651162790697674,0.0,0.0,20.0,1,-0.05,0.05,0.4920000138716343,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),1.0167441860465116,0.05083720930232558,28571.810746046514,1428.5905373023254,20.0,1,-0.432959407,0.05,3.0,980.434909090909,196.0869818181818,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.20465116279069767,0.010232558139534885,5853.748837209303,292.6874418604652,15.0,1,-0.05,0.05,0.6362250444892772,136.9181818181818,27.38363636363637,0,0.9,0.1,-0.05
Direct Heating Oil,0.013953488372093023,0.0006976744186046513,2452.3704016744186,122.61852008372094,15.0,1,-0.05,0.05,0.4072703044534989,110.5998181818182,22.11996363636364,0,0.9,0.1,-0.05
Direct Heating Gas,0.013953488372093023,0.0006976744186046513,2452.3704016744186,122.61852008372094,15.0,1,-0.05,0.05,0.5592580184495146,368.1009090909091,73.6201818181818,0,0.95,0.1,-0.05
Direct Heating Biomass,0.20465116279069767,0.010232558139534885,5853.748837209303,292.6874418604652,15.0,1,-0.05,0.05,0.5043534749212262,90.4400909090909,18.08801818181818,0,0.9,0.1,-0.05
Direct Heating Electric,0.055813953488372085,0.002790697674418605,1467.7953488372088,73.38976744186047,12.5,1,-0.05,0.05,0.5616447634799349,980.434909090909,196.0869818181818,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.9302325581395348,0.04651162790697674,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.1,-0.05
