,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.5169027189083014,0.025845135945415,52057.68634343016,2602.8843171715084,25.0,1,-0.05,0.05,0.4497562000096466,249.69509070411,49.93901814082199,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0568592990799131,0.0028429649539956,10923.188255970226,546.1594127985113,25.0,1,-0.05,0.05,0.3538337129270651,362.7151788459568,72.54303576919136,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0568592990799131,0.0028429649539956,12036.18319032358,601.809159516179,25.0,1,-0.05,0.05,0.5897069941644886,481.7074920569848,96.34149841139694,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.6388917605706605,0.031944588028533,52057.68634343016,2602.8843171715084,25.0,1,-0.05,0.05,0.4215786090837574,106.560725632879,21.3121451265758,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0827044350253282,0.0041352217512664,9262.276439574072,463.1138219787037,25.0,1,-0.05,0.05,0.9,1354.01916572717,270.803833145434,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,1.0338054378166028,0.0516902718908301,0.0,0.0,20.0,1,-0.05,0.05,0.617538994625738,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),1.1299493435335468,0.0564974671766773,31753.020316344464,1587.6510158172232,20.0,1,-0.432959407,0.05,3.0,1354.01916572717,270.803833145434,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.2274371963196526,0.0113718598159826,6505.510182983563,325.2755091491782,15.0,1,-0.05,0.05,0.3603088305083635,249.69509070411,49.93901814082199,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.015507081567249,0.0007753540783624,2725.419396050864,136.27096980254316,15.0,1,-0.05,0.05,0.4746943650738439,362.7151788459568,72.54303576919136,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.015507081567249,0.0007753540783624,2725.419396050864,136.27096980254316,15.0,1,-0.05,0.05,0.4438549788666101,481.7074920569848,96.34149841139694,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.2274371963196526,0.0113718598159826,6505.510182983563,325.2755091491782,15.0,1,-0.05,0.05,0.45599976326464,106.560725632879,21.3121451265758,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0620283262689961,0.0031014163134498,1631.2209242220608,81.56104621110308,12.5,1,-0.05,0.05,0.5114448874642531,1354.01916572717,270.803833145434,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,1.0338054378166028,0.0516902718908301,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
