,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,22922.52,6896,0.07094803804994054,0.01267241379310345,0.038,0.02,0.15,12,1.6176152675386444,13655,0.375,5.120625,0.7,109.73296551724137,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,34128.62,11966,0.0924858353151011,0.013517241379310345,0.051,0.03,0.15,12,2.1086770451843053,13655,0.375,5.120625,0.4,143.0447586206897,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,59770.77,11966,0.15139804548156957,0.05660344827586207,0.064,0.03,0.15,12,3.4518754369797864,13655,0.375,5.120625,0,234.16231034482757,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,22922.52,6896,0.06385323424494647,0.01267241379310345,0.038,0.02,0.15,12,1.4558537407847798,13655,0.375,5.120625,0,98.75966896551722,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,34128.62,11966,0.08323725178359098,0.013517241379310345,0.051,0.03,0.15,12,1.8978093406658745,13655,0.375,5.120625,0,128.7402827586207,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,59770.77,11966,0.1362582409334126,0.05660344827586207,0.064,0.03,0.15,12,3.106687893281807,13655,0.375,5.120625,0,210.7460793103448,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,22931.24,6504.70324566147,0.058551925952296184,0.009958490566037734,0.038,0.02,0.15,12,1.4581318333926663,13655,0.375,5.120625,0.7,100.10490566037736,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,36980.01,8785.2,0.06850575336418654,0.014554716981132072,0.051,0.03,0.15,12,1.7060142450694198,13655,0.375,5.120625,0.2,117.12273962264152,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,50651.21,14464,0.09120244649287051,0.025279245283018864,0.064,0.04,0.15,12,2.2712351191127755,13655,0.375,5.120625,0,155.9267633587786,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,22931.24,6504.70324566147,0.05269673335706657,0.009958490566037734,0.038,0,0.15,12,1.3123186500533999,13655,0.375,5.120625,0,90.09441509433962,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,36980.01,8785.2,0.06165517802776789,0.014554716981132072,0.051,0,0.15,12,1.535412820562478,13655,0.375,5.120625,0,105.41046566037735,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,50651.21,14464,0.08208220184358345,0.025279245283018864,0.064,0,0.15,12,2.0441116072014975,13655,0.375,5.120625,0,140.33408702290075,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,22931.24,6504.70324566147,0.031124210526315785,0.055200000000000006,0.039,0.02,0.15,12,0.8336842105263157,13655,0.375,5.120625,0.6,72,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,32758.32,10901.4315622838,0.04149894736842105,0.069,0.056,0.03,0.15,12,1.111578947368421,13655,0.375,5.120625,0.3,96,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,51656.48,28669.0214613536,0.04841543859649122,0.07590000000000001,0.066,0.04,0.15,12,1.2968421052631578,13655,0.375,5.120625,0.2,112,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20126.98,1217.1,0.032327586206896554,0.003379310344827586,0.039,0.03,0.15,12,0.7370689655172414,13655,0.375,5.120625,0,50,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,24725.89,4895.1,0.05172413793103448,0.009293103448275861,0.056,0.04,0.15,12,1.1793103448275863,13655,0.375,5.120625,-0.1,80,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,35335.55,11818,0.10344827586206896,0.016896551724137933,0.066,0.04,0.15,12,2.3586206896551727,13655,0.375,5.120625,-0.2,160,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,35940.04742203544,18872.734998028704,0.03675,0.00478,0.019,0.04,0.15,12,0.63,13655,0.375,5.120625,-0.6,22.437167942583734,4,-0.23,4,18.5,150,1.05,1.00045,0.996
20 Electric Mid,45804.84444297864,22458.56767744897,0.039060000000000004,0.0022446000000000002,0.0255,0.05,0.15,12,0.67,13655,0.375,5.120625,-1,31.412035119617226,4,-0.23,4,50.2,150,1.05,1.00045,0.996
21 Electric Lux,75860.17871313183,47623.14730924459,0.050169,0.012,0.032,0.06,0.15,12,0.86,13655,0.375,5.120625,-1.4,38.89109110047848,4,-0.23,4,81,150,1.05,1.00045,0.996
22 PHEV Econ,37642.83,5328.4,0.02456896551724138,0.01267241379310345,0.046,0.04,0.15,12,0.5601724137931036,13655,0.375,5.120625,-0.5,38,4,-0.23,4,11.5,150,1.05,1.00045,0.996
23 PHEV Mid,32111.3,6146.8,0.03142222937140891,0.013517241379310345,0.065,0.05,0.15,12,0.7164268296681231,13655,0.375,5.120625,-0.8,48.59971476111243,4,-0.23,4,11.5,150,1.05,1.00045,0.996
24 PHEV Lux,64049.42,49702,0.04447230457689395,0.05660344827586207,0.08,0.06,0.15,12,1.0139685443531823,13655,0.375,5.120625,-1,68.78383107892931,4,-0.23,4,11.5,150,1.05,1.00045,0.996
25 Hydrogen Econ,10000,1000,0,0,0.046,0.04,0.15,12,0,13655,0.375,5.120625,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,20000,1000,0,0,0.065,0.05,0.15,12,0,13655,0.375,5.120625,0,0,4,-0.23,4,0,0,0,0,0
27 Hydrogen Lux,68274.21,3175.63348897925,0,0,0.08,0.06,0.15,12,0,13655,0.375,5.120625,0,0,4,-0.23,4,0,0,0,0,0
28 Bikes Econ,3808,1326,0.032327586206896554,0.0031258620689655174,0.03,0.03,0.15,7,0.7370689655172414,6827.5,0.55,3.7551250000000005,0,50,2,-0.0144995696951151,3,0,0,0,0,0
29 Bikes Lux,14932,5760,0.045258620689655166,0.03945344827586208,0.03,0.03,0.15,7,1.0318965517241379,6827.5,0.55,3.7551250000000005,0,70,2,-0.0144995696951151,3,0,0,0,0,0
30 Bikes Adv Econ,3808,1326,0.032327586206896554,0.09462068965517241,0.03,0.03,0.15,7,0.7370689655172414,6827.5,0.55,3.7551250000000005,0,50,2,-0.0144995696951151,3,0,0,0,0,0
31 Bikes Adv Lux,14932,5760,0.045258620689655166,0.09462068965517241,0.03,0.03,0.15,7,1.0318965517241379,6827.5,0.55,3.7551250000000005,0,70,2,-0.0144995696951151,3,0,0,0,0,0
