,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,14522.649821974,6204.05652817574,0.07631559444654608,0.6868537954592683,0.038,0.02,0.15,14,1.7752847502458946,23645,0.375,8.866875,-0.3999999999999999,123.0272331920405,4,-0.014499569695115089,4
2 Petrol  Mid,19264.4197003826,7765.75814322524,0.09910913219945691,0.5755914765020093,0.051,0.03,0.15,14,2.3055174015192814,23645,0.375,8.866875,-1.043104,159.77235592528618,4,-0.014499569695115089,4
3 Petrol Lux,35872.8471567555,14386.0479243481,0.11726844785889329,1.5784530931152756,0.064,0.03,0.15,14,2.7279468721785105,23645,0.375,8.866875,-1.3153519999999999,189.04671824197078,4,-0.014499569695115089,4
4 Adv Petrol Econ,17427.1797863688,6204.05652817574,0.06868403500189148,0.6181684159133415,0.038,0.02,0.15,14,1.5977562752213053,23645,0.375,8.866875,-0.3999999999999999,110.72450987283645,4,-0.07400058144377691,4
5 Adv Petrol Mid,23117.303640459122,7765.75814322524,0.08919821897951125,0.5180323288518084,0.051,0.03,0.15,14,2.0749656613673535,23645,0.375,8.866875,-1.043104,143.7951203327576,4,-0.07400058144377691,4
6 Adv Petrol Lux,43047.4165881066,14386.0479243481,0.10554160307300395,1.420607783803748,0.064,0.03,0.15,14,2.4551521849606592,23645,0.375,8.866875,-1.3153519999999999,170.14204641777368,4,-0.07400058144377691,4
7 Diesel Econ,17427.1797863688,6204.05652817574,0.07370520652583926,1.1968882379005241,0.038,0.02,0.15,14,1.8197561335345138,23645,0.375,8.866875,0.3200000000000003,134.84392949490746,4,-0.014499569695115089,4
8 Diesel Mid,23117.303640459122,7765.75814322524,0.07534114208639019,2.656401364489962,0.051,0.03,0.15,14,1.8601468184088057,23645,0.375,8.866875,-0.1792239999999996,137.8368792440925,4,-0.014499569695115089,4
9 Diesel Lux,42800.5781529824,30603.9767434338,0.11678522622533423,3.5013074883369146,0.064,0.04,0.15,14,2.883386964735838,23645,0.375,8.866875,-0.47937600000000025,213.65897408692558,4,-0.014499569695115089,4
10 Adv Diesel Econ,17427.1797863688,6204.05652817574,0.06633468587325533,1.0771994141104717,0.038,0,0.15,14,1.6377805201810625,23645,0.375,8.866875,0.3200000000000003,121.35953654541673,4,-0.07400058144377691,4
11 Adv Diesel Mid,23117.303640459122,7765.75814322524,0.06780702787775116,2.3907612280409656,0.051,0,0.15,14,1.6741321365679251,23645,0.375,8.866875,-0.1792239999999996,124.05319131968325,4,-0.07400058144377691,4
12 Adv Diesel Lux,42800.5781529824,30603.9767434338,0.1051067036028008,3.1511767395032235,0.064,0,0.15,14,2.5950482682622544,23645,0.375,8.866875,-0.47937600000000025,192.29307667823304,4,-0.07400058144377691,4
13 LPG Econ,14522.649821974,6204.05652817574,0,0,0.039,0.02,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.014499569695115089,4
14 LPG Mid,19264.4197003826,7765.75814322524,0,0,0.056,0.03,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.014499569695115089,4
15 LPG Lux,35872.8471567555,14386.0479243481,0,0,0.066,0.04,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.014499569695115089,4
16 Hybrid Econ,28992.65060614338,6204.05652817574,0.0564,0.0141,0.039,0.03,0.15,14,1.3119999999999998,23645,0.375,8.866875,0,90.9216,4,-0.15200309344504995,4
17 Hybrid Mid,38459,7765.75814322524,0.06767999999999999,0.141,0.056,0.04,0.15,14,1.5743999999999996,23645,0.375,8.866875,0,109.10591999999997,4,-0.15200309344504995,4
18 Hybrid Lux,71615.64429445335,14386.0479243481,0.11054399999999999,0.0141,0.066,0.04,0.15,14,2.5715199999999996,23645,0.375,8.866875,0,178.206336,4,-0.15200309344504995,4
19 Electric Econ,28992.65060614338,6204.05652817574,0.030000000000000002,0,0.046,0.04,0.15,14,0.54,23645,0.375,8.866875,0,0,4,-0.15200309344504995,4
20 Electric Mid,38459,7765.75814322524,0.042,0,0.065,0.05,0.15,14,0.756,23645,0.375,8.866875,0,0,4,-0.15200309344504995,4
21 Electric Lux,71615.64429445335,14386.0479243481,0.052000000000000005,0,0.08,0.06,0.15,14,0.936,23645,0.375,8.866875,0,0,4,-0.15200309344504995,4
22 motorcycles Econ,2633,715,0.034545000000000006,0.564,0.1,0.03,0.15,12,0.8036000000000001,5000,0.55,2.75,0.16930400000000034,55.68948,2,-0.014499569695115089,3
23 motorcycles Lux,4129,3189,0.045966,1.2126,0.2,0.03,0.15,12,1.0692799999999998,5000,0.55,2.75,-0.5289919999999997,74.10110399999999,2,-0.014499569695115089,3
24 Adv motorcycles Econ,2633,715,0.05555555555555556,0,0,0.03,0.15,12,1,5000,0.55,2.75,0.16930400000000034,0,2,-0.014499569695115089,3
25 Adv motorcycles Lux,4129,3189,0.06666666666666667,0,0,0.03,0.15,12,1.2,5000,0.55,2.75,-0.5289919999999997,0,2,-0.014499569695115089,3
