,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,14522.65,6204.05652817574,0.03664137931034483,0.6868537954592683,0.038,0.02,0.15,14,1.8135911099861144,23645,0.375,8.866875,0,123.0272331920405,4,-0.01449956969511509,4
2 Petrol  Mid,19264.42,7765.75814322524,0.043303448275862085,0.5755914765020093,0.051,0.03,0.15,14,2.3552649020020633,23645,0.375,8.866875,0,159.77235592528618,4,-0.01449956969511509,4
3 Petrol Lux,35872.85,14386.0479243481,0.04370072761784245,1.5784530931152756,0.064,0.03,0.15,14,2.7868093809807766,23645,0.375,8.866875,0,189.04671824197078,4,-0.01449956969511509,4
4 Adv Petrol Econ,17427.18,6204.05652817574,0.029313103448275868,0.6181684159133415,0.038,0.02,0.15,14,1.6322319989875032,23645,0.375,8.866875,0,110.72450987283645,4,-0.01449956969511509,4
5 Adv Petrol Mid,23117.3,7765.75814322524,0.03464275862068966,0.5180323288518084,0.051,0.03,0.15,14,2.119738411801858,23645,0.375,8.866875,0,143.7951203327576,4,-0.01449956969511509,4
6 Adv Petrol Lux,43047.42,14386.0479243481,0.034960582094273954,1.420607783803748,0.064,0.03,0.15,14,2.508128442882698,23645,0.375,8.866875,0,170.14204641777368,4,-0.01449956969511509,4
7 Diesel Econ,17427.18,6204.05652817574,0.042071407837445576,1.1968882379005241,0.038,0.02,0.15,14,1.9641417654729916,23645,0.375,8.866875,0,134.84392949490746,4,-0.01449956969511509,4
8 Diesel Mid,23117.3,7765.75814322524,0.04972075471698113,2.656401364489962,0.051,0.03,0.15,14,2.007737184461121,23645,0.375,8.866875,0,137.8368792440925,4,-0.01449956969511509,4
9 Diesel Lux,42800.58,30603.9767434338,0.05017690842998095,3.5013074883369146,0.064,0.04,0.15,14,3.1121646791529534,23645,0.375,8.866875,0,213.65897408692558,4,-0.01449956969511509,4
10 Adv Diesel Econ,17427.18,6204.05652817574,0.03365712626995646,1.0771994141104717,0.038,0,0.15,14,1.767727588925693,23645,0.375,8.866875,0,121.35953654541673,4,-0.01449956969511509,4
11 Adv Diesel Mid,23117.3,7765.75814322524,0.039776603773584905,2.3907612280409656,0.051,0,0.15,14,1.806963466015009,23645,0.375,8.866875,0,124.05319131968325,4,-0.01449956969511509,4
12 Adv Diesel Lux,42800.58,30603.9767434338,0.04014152674398476,3.1511767395032235,0.064,0,0.15,14,2.800948211237659,23645,0.375,8.866875,0,192.29307667823304,4,-0.01449956969511509,4
13 LPG Econ,14522.65,6204.05652817574,0.01328099705263158,0,0.039,0.02,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.01449956969511509,4
14 LPG Mid,19264.42,7765.75814322524,0.015022767157894742,0,0.056,0.03,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.01449956969511509,4
15 LPG Lux,35872.85,14386.0479243481,0.01850630736842106,0,0.066,0.04,0.15,14,0,23645,0.375,8.866875,0,0,4,-0.01449956969511509,4
16 Hybrid Econ,20000,1000,0.029870689655172415,0.0141,0.039,0.03,0.15,14,1.3267241379310346,23645,0.375,8.866875,0,90,4,-0.01449956969511509,4
17 Hybrid Mid,24194.21,5000,0.032742678711976274,0.141,0.056,0.04,0.15,14,1.4542852103241413,23645,0.375,8.866875,0,98.65326572959086,4,-0.0144995696951151,4
18 Hybrid Lux,30000,1000,0.04844323423941322,0.0141,0.066,0.04,0.15,14,2.151634559724587,23645,0.375,8.866875,0,145.95883563043984,4,-0.0144995696951151,4
19 Electric Econ,35698.67172507861,12031,0.017499999999999998,0,0.046,0.04,0.15,14,0.63,23645,0.375,8.866875,0,28.80304222474461,4,-0.23,4
20 Electric Mid,45237.45285397313,6368,0.018611111111111113,0,0.065,0.05,0.15,14,0.67,23645,0.375,8.866875,0,40.32425911464245,4,-0.23,4
21 Electric Lux,72051.596855402,20031,0.024166666666666666,0,0.08,0.06,0.15,14,0.87,23645,0.375,8.866875,0,49.92527318955733,4,-0.23,4
22 motorcycles Econ,10000,1000,0.011948275862068966,0.6868537954592683,0.046,0.04,0.15,12,0.5306896551724138,23645,0.375,8.866875,0,36,4,-0.23,4
23 motorcycles Lux,20000,4724.2,0.0165948275862069,0.5755914765020093,0.065,0.05,0.15,12,0.7370689655172414,23645,0.375,8.866875,0,50,4,-0.23,4
24 Adv motorcycles Econ,56401,1000,0.028798663793103446,1.5784530931152756,0.08,0.06,0.15,12,1.2791094827586207,23645,0.375,8.866875,0,86.77,4,-0.23,4
25 Adv motorcycles Lux,10000,1000,0,0,0.046,0.04,0.15,12,0,23645,0.375,8.866875,0,0,4,-0.23,4
