,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,22922.52,6896,0.07283998573127229,0.01267241379310345,0.038,0.02,0.15,12,1.6176152675386444,13372,0.375,5.0145,0.2,109.73296551724137,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,34128.62,11966,0.09495212425683713,0.013517241379310345,0.051,0.03,0.15,12,2.1086770451843053,13372,0.375,5.0145,-0.1,143.0447586206897,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,59770.77,11966,0.15543532669441143,0.05660344827586207,0.064,0.03,0.15,12,3.4518754369797864,13372,0.375,5.0145,-0.6,234.16231034482757,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,22922.52,6896,0.06555598715814505,0.01267241379310345,0.038,0.02,0.15,12,1.4558537407847798,13372,0.375,5.0145,0,98.75966896551722,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,34128.62,11966,0.0854569118311534,0.013517241379310345,0.051,0.03,0.15,12,1.8978093406658745,13372,0.375,5.0145,0,128.7402827586207,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,59770.77,11966,0.13989179402497026,0.05660344827586207,0.064,0.03,0.15,12,3.106687893281807,13372,0.375,5.0145,0,210.7460793103448,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,22931.24,6504.70324566147,0.05590764542541829,0.009958490566037734,0.038,0.02,0.15,12,1.4581318333926663,13372,0.375,5.0145,0.5,100.10490566037736,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,36980.01,8785.2,0.0654119451477394,0.014554716981132072,0.051,0.03,0.15,12,1.7060142450694198,13372,0.375,5.0145,0,117.12273962264152,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,50651.21,14464,0.08708362632867636,0.025279245283018864,0.064,0.04,0.15,12,2.2712351191127755,13372,0.375,5.0145,0,155.9267633587786,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,22931.24,6504.70324566147,0.05031688088287647,0.009958490566037734,0.038,0,0.15,12,1.3123186500533999,13372,0.375,5.0145,0,90.09441509433962,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,36980.01,8785.2,0.05887075063296547,0.014554716981132072,0.051,0,0.15,12,1.535412820562478,13372,0.375,5.0145,0,105.41046566037735,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,50651.21,14464,0.0783752636958087,0.025279245283018864,0.064,0,0.15,12,2.0441116072014975,13372,0.375,5.0145,0,140.33408702290075,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,22931.24,6504.70324566147,0.03742315789473684,0.055200000000000006,0.039,0.02,0.15,12,0.8336842105263157,13372,0.375,5.0145,0,72,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,32758.32,10901.4315622838,0.049897543859649125,0.069,0.056,0.03,0.15,12,1.111578947368421,13372,0.375,5.0145,0,96,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,51656.48,28669.0214613536,0.05821380116959064,0.07590000000000001,0.066,0.04,0.15,12,1.2968421052631578,13372,0.375,5.0145,0,112,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20126.98,1217.1,0.026724137931034484,0.003379310344827586,0.039,0.03,0.15,12,0.7370689655172414,13372,0.375,5.0145,0.2,50,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,24725.89,4895.1,0.04275862068965517,0.009293103448275861,0.056,0.04,0.15,12,1.1793103448275863,13372,0.375,5.0145,0.2,80,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,35335.55,11818,0.08551724137931034,0.016896551724137933,0.066,0.04,0.15,12,2.3586206896551727,13372,0.375,5.0145,-0.5,160,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,35940.04742203544,18872.734998028704,0.03675,0.00478,0.019,0.04,0.15,12,0.63,13372,0.375,5.0145,-0.3,22.437167942583734,4,-0.23,4,17.6,150,1.05,1.00045,0.996
20 Electric Mid,45804.84444297864,22458.56767744897,0.039060000000000004,0.0022446000000000002,0.0255,0.05,0.15,12,0.67,13372,0.375,5.0145,-0.7,31.412035119617226,4,-0.23,4,51.4,150,1.05,1.00045,0.996
21 Electric Lux,75860.17871313183,47623.14730924459,0.050169,0.012,0.032,0.06,0.15,12,0.86,13372,0.375,5.0145,-1.2,38.89109110047848,4,-0.23,4,82,150,1.05,1.00045,0.996
22 PHEV Econ,37642.83,5328.4,0.02031034482758621,0.01267241379310345,0.046,0.04,0.15,12,0.5601724137931036,13372,0.375,5.0145,-0.4,38,4,-0.23,4,11.7,150,1.05,1.00045,0.996
23 PHEV Mid,32111.3,6146.8,0.02597570961369803,0.013517241379310345,0.065,0.05,0.15,12,0.7164268296681231,13372,0.375,5.0145,-0.6,48.59971476111243,4,-0.23,4,11.7,150,1.05,1.00045,0.996
24 PHEV Lux,64049.42,49702,0.03676377178356567,0.05660344827586207,0.08,0.06,0.15,12,1.0139685443531823,13372,0.375,5.0145,-1.1,68.78383107892931,4,-0.23,4,11.7,150,1.05,1.00045,0.996
25 Hydrogen Econ,10000,1000,0,0,0.046,0.04,0.15,12,0,13372,0.375,5.0145,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,20000,1000,0,0,0.065,0.05,0.15,12,0,13372,0.375,5.0145,0,0,4,-0.23,4,0,0,0,0,0
