,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,16149.31,3323.7,0.0742344827586207,0.004460070167453816,0.038,0.02,0.15,12,1.9408687413528851,15619,0.375,5.857125,0.5,131.66127134323665,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,21186.54,4186.5,0.07794620689655175,0.0056038926431424396,0.051,0.03,0.15,12,2.43862084061824,15619,0.375,5.857125,0.2,165.42691082556482,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,31259.31,11604,0.09279310344827589,0.007727196031947622,0.064,0.03,0.15,12,3.362609258068021,15619,0.375,5.857125,-0.15,228.1068268630938,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,16149.31,3323.7,0.05938758620689657,0.004014063150708435,0.038,0.02,0.15,12,1.746781867217597,15619,0.375,5.857125,0,118.495144208913,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,21186.54,4186.5,0.062356965517241396,0.005043503378828197,0.051,0.03,0.15,12,2.1947587565564164,15619,0.375,5.857125,0,148.88421974300834,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,31259.31,11604,0.0742344827586207,0.006954476428752862,0.064,0.03,0.15,12,3.02634833226122,15619,0.375,5.857125,0,205.29614417678448,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,21526.61,2283.82295486209,0.053796226415094336,0.0005792298918771189,0.038,0.02,0.15,12,2.0506165045179885,15619,0.375,5.857125,0,140.78066676095,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,24899.07,4391.19518627269,0.056486037735849065,0.000727778265343174,0.051,0.03,0.15,12,2.576514339938087,15619,0.375,5.857125,0,176.88505183512774,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,35692.76,15587.9227900628,0.06724528301886792,0.00100353195220099,0.064,0.04,0.15,12,3.5527503204739177,15619,0.375,5.857125,0,243.90643391854616,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,17938.84,2283.82295486209,0.04303698113207548,0.0005213069026894072,0.038,0,0.15,12,1.8455548540661904,15619,0.375,5.857125,0,126.70260008485504,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,20749.23,4391.19518627269,0.045188830188679245,0.0006550004388088566,0.051,0,0.15,12,2.3188629059442785,15619,0.375,5.857125,0,159.19654665161497,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,29743.96,15587.9227900628,0.053796226415094336,0.0009031787569808912,0.064,0,0.15,12,3.197475288426527,15619,0.375,5.857125,0,219.51579052669163,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,17938.84,2283.82295486209,0.0155847485380117,0,0.039,0.02,0.15,12,1.2341181825155514,15619,0.375,5.857125,0,106.5829339445249,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,20749.23,4391.19518627269,0.018312079532163746,0,0.056,0.03,0.15,12,1.5506181616230887,15619,0.375,5.857125,0,133.91702304926676,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,29743.96,15587.9227900628,0.0206497918128655,0,0.066,0.04,0.15,12,2.138144191649049,15619,0.375,5.857125,0,184.65790746059972,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20292,1000,0.034913793103448276,0.002217615522666028,0.039,0.03,0.15,12,1.3267241379310346,15619,0.375,5.857125,0,90,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,25836.89,3259.4,0.038270663429582664,0.0037081502824319722,0.056,0.04,0.15,12,1.4542852103241413,15619,0.375,5.857125,-0.2,98.65326572959086,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,33373.81,10061,0.056621962098015455,0.00509617867867868,0.066,0.04,0.15,12,2.151634559724587,15619,0.375,5.857125,-0.2,145.95883563043984,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,34628.225159526,4269.9,0.015,0.00056,0.046,0.04,0.15,12,0.63,15619,0.375,5.857125,-0.8,28.80304222474461,4,-0.23,4,14.32,150,1.05,1.00045,0.996
20 Electric Mid,38901.08551174125,3650.1,0.015,0.0008,0.065,0.05,0.15,12,0.67,15619,0.375,5.857125,-0.9,40.32425911464245,4,-0.23,4,40,150,1.05,1.00045,0.996
21 Electric Lux,76152.65413837155,33020,0.024,0.01238,0.08,0.06,0.15,12,0.87,15619,0.375,5.857125,-1.3,49.92527318955733,4,-0.23,4,60,150,1.05,1.00045,0.996
22 PHEV Econ,37343.16,4541.5,0.01396551724137931,0.0056038926431424396,0.046,0.04,0.15,12,0.5306896551724138,15619,0.375,5.857125,-0.5,36,4,-0.23,4,11.9,150,1.05,1.00045,0.996
23 PHEV Mid,46802.56,13304,0.01939655172413793,0.007727196031947622,0.065,0.05,0.15,12,0.7370689655172414,15619,0.375,5.857125,-0.5,50,4,-0.23,4,11.9,150,1.05,1.00045,0.996
24 PHEV Lux,52963.73,28747,0.03366077586206896,0.004014063150708435,0.08,0.06,0.15,12,1.2791094827586207,15619,0.375,5.857125,-0.6,86.77,4,-0.23,4,11.9,150,1.05,1.00045,0.996
25 Hydrogen Econ,15000,1000,0,0,0.046,0.04,0.15,12,0,15619,0.375,5.857125,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,50000,1000,0,0,0.065,0.05,0.15,12,0,15619,0.375,5.857125,0,0,4,-0.23,4,0,0,0,0,0
27 Hydrogen Lux,66812.81,4349.2,0,0,0.08,0.06,0.15,12,0,15619,0.375,5.857125,0,0,4,-0.23,4,0,0,0,0,0
28 Bikes Econ,2324,460,0.03711724137931035,0.0015669500000000001,0.03,0.03,0.15,7,0.6818826072413793,4000,0.55,2.2,0,46.25636399999999,2,-0.0144995696951151,3,0,0,0,0,0
29 Bikes Lux,17465,6501,0.046396551724137945,0.004250399999999999,0.03,0.03,0.15,7,1.849627514482758,4000,0.55,2.2,0,125.47180799999997,2,-0.0144995696951151,3,0,0,0,0,0
30 Bikes Adv Econ,2324,460,0.029693793103448284,0,0,0.03,0.15,7,0,4000,0.55,2.2,0,0,2,-0.0144995696951151,3,0,0,0,0,0
31 Bikes Adv Lux,17465,6501,0.03711724137931035,0,0,0.03,0.15,7,0,4000,0.55,2.2,0,0,2,-0.0144995696951151,3,0,0,0,0,0
