,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4449586188484471,0.0222479309424223,44812.13847112219,2240.606923556109,25.0,1,-0.05,0.05,0.0601161885399185,66.60289676605976,13.320579353211956,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0489454480733291,0.0024472724036664,9402.865533505385,470.1432766752693,25.0,1,-0.05,0.05,0.0686440613242959,159.58460140147182,31.91692028029436,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0489454480733291,0.0024472724036664,10360.95043160986,518.047521580493,25.0,1,-0.05,0.05,0.5320918961494853,223.9111619315684,44.78223238631367,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.5499688528966806,0.027498442644834,44812.13847112219,2240.606923556109,25.0,1,-0.05,0.05,0.1569993886325942,70.73682821708155,14.147365643416308,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0711933790157515,0.0035596689507875,7973.124499421555,398.6562249710778,25.0,1,-0.05,0.05,0.9,996.3969566364676,199.27939132729355,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.8899172376968942,0.0444958618848447,0.0,0.0,20.0,1,-0.05,0.05,0.4325835523773034,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),0.9726795408027054,0.0486339770401352,27333.53791225416,1366.676895612708,20.0,1,-0.432959407,0.05,3.0,996.3969566364676,199.27939132729355,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.1957817922933167,0.0097890896146658,5600.0533950342615,280.00266975171314,15.0,1,-0.05,0.05,0.0408643605331272,66.60289676605976,13.320579353211956,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0133487585654534,0.0006674379282726,2346.087195692801,117.30435978464004,15.0,1,-0.05,0.05,0.0452261104458705,159.58460140147182,31.91692028029436,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0133487585654534,0.0006674379282726,2346.087195692801,117.30435978464004,15.0,1,-0.05,0.05,0.4514246206942353,223.9111619315684,44.78223238631367,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.1957817922933167,0.0097890896146658,5600.0533950342615,280.00266975171314,15.0,1,-0.05,0.05,0.1394628272196615,70.73682821708155,14.147365643416308,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0533950342618136,0.0026697517130906,1404.1826110171753,70.20913055085877,12.5,1,-0.05,0.05,0.3023327297451432,996.3969566364676,199.27939132729355,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.8899172376968942,0.0444958618848447,0.0,0.0,20.0,1,-0.05,0.05,0.1897642756425401,0.0,0.0,0,1.0,0.0,-0.05
