"energy_technologies","year","value"
"Nuclear","2019",70.1974451460478
"Oil","2019",261.854984254109
"Coal","2019",53.6708304378782
"Coal + CCS","2019",142.585819230578
"IGCC","2019",211.63539888519
"IGCC + CCS","2019",706.884490630635
"CCGT","2019",88.2857078112529
"CCGT + CCS","2019",185.375259457946
"Solid Biomass","2019",162.08681056279
"Biogas","2019",208.526234126536
"Large Hydro","2019",193.824713381749
"Onshore","2019",85.0881321008556
"Offshore","2019",117.095338195975
"Solar PV","2019",85.0198705713983
"CSP","2019",194.871265948559
"Geothermal","2019",1407.62439321284
"Fuel Cells","2019",17770.1386266799
"Nuclear","2020",69.2586231401335
"Oil","2020",262.722447858348
"Coal","2020",52.7938641123034
"Coal + CCS","2020",139.113470664708
"IGCC","2020",209.35237013986
"IGCC + CCS","2020",674.604464648624
"CCGT","2020",88.0502718696512
"CCGT + CCS","2020",182.095904707013
"Solid Biomass","2020",160.856329376868
"Biogas","2020",202.64899556364
"Large Hydro","2020",192.720268201639
"Onshore","2020",84.0675338091747
"Offshore","2020",112.702679304822
"Solar PV","2020",78.55152993217
"CSP","2020",182.088992484699
"Geothermal","2020",1407.62439321284
"Fuel Cells","2020",17765.9064503462
"Nuclear","2021",68.7659577241853
"Oil","2021",265.587386019534
"Coal","2021",52.0162195113972
"Coal + CCS","2021",137.938845172125
"IGCC","2021",208.019121411231
"IGCC + CCS","2021",661.72286145844
"CCGT","2021",88.0192359445483
"CCGT + CCS","2021",180.701294201706
"Solid Biomass","2021",160.537441522301
"Biogas","2021",199.873401071015
"Large Hydro","2021",190.698120878417
"Onshore","2021",83.200989539997
"Offshore","2021",110.932031413602
"Solar PV","2021",74.8126034444172
"CSP","2021",195.730906242325
"Geothermal","2021",1407.62439321284
"Fuel Cells","2021",17764.067927739
"Nuclear","2022",68.165430647508
"Oil","2022",268.094355915673
"Coal","2022",51.3824372842537
"Coal + CCS","2022",136.34827275986
"IGCC","2022",206.232714879692
"IGCC + CCS","2022",605.771137436885
"CCGT","2022",88.003231905375
"CCGT + CCS","2022",179.195425390049
"Solid Biomass","2022",159.860176660841
"Biogas","2022",192.017370079838
"Large Hydro","2022",189.511730368511
"Onshore","2022",83.5057219871613
"Offshore","2022",109.086679902787
"Solar PV","2022",71.935550922565
"CSP","2022",185.916285862741
"Geothermal","2022",1407.62439321284
"Fuel Cells","2022",17762.2642264692
"Nuclear","2023",67.6001262580324
"Oil","2023",270.781822020372
"Coal","2023",50.8423721639133
"Coal + CCS","2023",135.275479812087
"IGCC","2023",205.588401741605
"IGCC + CCS","2023",597.763531600952
"CCGT","2023",88.0377197230362
"CCGT + CCS","2023",178.353947581382
"Solid Biomass","2023",159.603356157299
"Biogas","2023",189.875173351366
"Large Hydro","2023",188.953922326746
"Onshore","2023",83.4124536948376
"Offshore","2023",107.816988073193
"Solar PV","2023",69.8881426022241
"CSP","2023",176.956183647867
"Geothermal","2023",1407.62439321284
"Fuel Cells","2023",17760.8692085435
"Nuclear","2024",67.049094000961
"Oil","2024",273.37374692132
"Coal","2024",50.4095783890753
"Coal + CCS","2024",134.419465866315
"IGCC","2024",205.180937044958
"IGCC + CCS","2024",594.926482493386
"CCGT","2024",88.1116184304421
"CCGT + CCS","2024",177.878457005591
"Solid Biomass","2024",159.470128616093
"Biogas","2024",188.332787398793
"Large Hydro","2024",188.762733901118
"Onshore","2024",83.5460036924203
"Offshore","2024",106.804610080713
"Solar PV","2024",68.4892353327095
"CSP","2024",168.421373747301
"Geothermal","2024",1407.62439321284
"Fuel Cells","2024",17759.6983289595
"Nuclear","2025",66.5120173351828
"Oil","2025",276.028616812252
"Coal","2025",50.0695987026288
"Coal + CCS","2025",133.697989850035
"IGCC","2025",204.84246371722
"IGCC + CCS","2025",591.438148678238
"CCGT","2025",88.2247351506431
"CCGT + CCS","2025",177.548220539315
"Solid Biomass","2025",159.431330898976
"Biogas","2025",186.858923587109
"Large Hydro","2025",188.847034209121
"Onshore","2025",83.6993557794134
"Offshore","2025",106.101009599275
"Solar PV","2025",67.5638044240997
"CSP","2025",159.650146011773
"Geothermal","2025",1407.62439321284
"Fuel Cells","2025",17758.6833772446
