,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Power own use & trans.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 O.energy own use & tra,199.0,269.0,317.0,316.0,293.0,288.0,214.0,245.0,295.0,253.0,158.0,167.0,167.0,168.0,182.0,181.0,177.2390585218477,173.5562644514417,172.44547475195301,171.34179429603088,170.24517758330373,169.1555794046101,168.07295484013488,171.10042117808558,174.18242069441789,177.31993568495693,180.5139661394367,183.76553006021703,183.80025305855273,183.83498261789367,183.86971873947962,183.90446142455056,183.93921067434664,183.89747208787267,183.85574297251475,183.81402332612362,183.77231314655074,183.73061243164787,185.1602608300934,186.60103363789088,188.05301741652184,189.5162994010218,190.99096750522133,193.29642178935148,195.62970524009424,197.99115378365724,200.3811074012173,202.79991017786833,204.82524847138876,206.87081357467264,208.93680749043443,211.02343423876556,213.13089987728145,215.01221500934477,216.91013658668732,218.82481119507784,220.7563867142036,222.70501232909183,224.51482876347373,226.33935270484847,228.17870367404572,230.0330021631835,231.90236964356134,232.44718839275512,232.99328710933324,233.54066880038093,234.08933648004836,234.63929316956688,236.35641325382713,238.08609944048197,239.82844368986133,241.58353863527242,243.35147758792473,245.13235454189106,246.9262641791047,248.73330187439333,250.55356370054974,252.38714643343957,254.23414755714649,256.0946652691551,257.96879848557154,259.8566468463827,261.7583107207534,263.6738912123628,265.6034901647795,267.54721016687637,269.5051545582846,271.4774274348878,273.4641336543566,275.4653788417233,277.4812693949975,279.5119124908231,281.55741609017605,283.61788894410455,285.69344059951067,287.7841814049746,289.8902225166215,292.01167590403105
3 Hydrogen production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Iron & steel,603.0,607.0,516.0,533.0,558.0,546.0,447.0,515.0,432.0,487.0,391.0,375.0,381.0,374.0,380.0,375.0,372.0641335018708,369.1512518359945,373.6022214118177,378.1068576894775,382.66580774481605,387.2797264556666,391.9492765959249,394.2347923466181,396.53363528671724,398.84588312908727,401.17161403974904,403.5109066405212,403.7361996675098,403.961618482791,404.18716315659645,404.41283375919693,404.6386303609029,408.2119436217837,411.81681236625485,415.45351525685504,419.122333416957,422.82355045249903,423.08165620712776,423.33991951821343,423.5983404819341,423.85691919452603,424.1156557522847,426.7715476889157,429.4440713199523,432.1333307961901,434.83943092063697,437.5624771525966,439.4311654035202,441.3078342194179,443.1925176827093,445.08525002136935,446.9860656095495,448.44371970166384,449.9061273098624,451.3733039357071,452.8452651313113,454.32202649950545,455.07364447285556,455.82650590248755,456.5806128455416,457.33596736256123,458.09257151749847,461.39649554490836,464.72424862927664,468.0760026341058,471.4519306624382,474.85220706579577,476.7979509339892,478.7516676390871,480.71338985040893,482.6831503711394,484.6609821388768,486.64691822618386,488.64099184114053,490.6432363278996,492.65368516724413,494.67237197714724,496.69933051333425,498.7345946698473,500.77819847961194,502.83017611500634,504.8905618884326,506.95939025289056,509.0366958025539,511.12251327334866,513.216877543534,515.3198236342855,517.4313867102807,519.5516020802871,521.6805051977527,523.8181316613989,525.9645172158151,528.1196977520577,530.283709308249,532.4565880701801,534.6383703719168,536.8290926964063
5 Non-ferrous metals,179.0,183.0,149.0,212.0,198.0,190.0,114.0,153.0,160.0,164.0,162.0,167.0,165.0,160.0,171.0,182.0,183.1756046667811,184.3588029947301,184.17536797839995,183.99211547792837,183.80904531171404,183.6261572983364,183.4434512565553,182.9260431551722,182.41009441983107,181.8956009343434,181.38255859413061,180.87096330619121,178.59435078046127,176.3463938470805,174.1267318197382,171.9350085520617,169.7708723804725,169.37245267992228,168.9749679940513,168.57841612855935,168.18279489429577,167.7881021072474,167.71762080020164,167.6471690996333,167.5767469931057,167.50635446818762,167.43599151245292,167.05548218644532,166.6758375929595,166.29705576683384,165.91913474737262,165.542072578336,165.8097290569391,166.07781829556154,166.34634099391081,166.61529785282573,166.88468957427824,167.23988409315268,167.59583460196586,167.95254270975374,168.31001002897708,168.66823817552844,168.6550327677034,168.64182839375883,168.62862505361375,168.6154227471872,168.6022214743984,168.77258314383369,168.9431169527471,169.11382307507444,169.2847016849273,169.45575295659324,169.6538477982694,169.85217421406216,170.05073247468314,170.24952285116044,170.4485456148389,170.64780103738067,170.8472893907654,171.04701094729074,171.2469659795726,171.4471547605456,171.64757756346344,171.84823466189926,172.04912632974597,172.25025284121674,172.4516144708452,172.65321149348594,172.85504418431492,173.0571128188297,173.25941767284993,173.46195902251773,173.664737144298,173.8677523149788,174.0710048116718,174.2744949118126,174.47822289316116,174.68218903380208,174.88639361214504,175.09083690692526,175.29551919720373,175.5004407623677
6 Chemicals,1164.0,1158.0,1184.0,1012.0,1133.0,1051.0,746.0,1161.0,1103.0,977.0,1098.0,1111.0,1133.0,1167.0,1278.0,1262.0,1247.2072193668662,1232.5878352146042,1304.0683416077165,1379.6941613393517,1459.705690337597,1544.3572656243778,1633.917973790456,1701.336900677758,1771.5376757211773,1844.635083885722,1920.7486464079207,2000.002816224445,2062.1769899949068,2126.283974985773,2192.383856582778,2260.5385880486338,2330.8120485898007,2360.892632171434,2391.361424450186,2422.2234355014793,2453.483740058887,2485.147478348585,2467.7117559943263,2450.398362160472,2433.2064385936847,2416.1351330621083,2399.183599313119,2409.1574515827865,2419.17276701064,2429.229717966738,2439.328477537711,2449.4692195297457,2457.1502354499135,2464.855337406802,2472.5846009291117,2480.3381017823885,2488.11591596976,2448.1230244468975,2408.772961243285,2370.055393816503,2331.960155704924,2294.4772438581927,2263.459343922029,2232.860759592078,2202.675822348615,2172.898940301822,2143.5245971558666,2119.2793228898063,2095.308285422809,2071.6083828793858,2048.17654846917,2025.0097500900715,2005.8334764891536,1986.8387968134998,1968.0239914196395,1949.3873569486425,1930.9272061719093,1912.6418678384214,1894.5296865234382,1876.589022478626,1858.818251483608,1841.2157646989176,1823.7799685203463,1806.50928443467,1789.4021488767414,1772.457013087936,1755.6723429759386,1739.0466189758572,1722.5783359126526,1706.2660028648706,1690.1081430296642,1674.103293589095,1658.2500055776993,1642.5468437513093,1626.992386457117,1611.5852255049663,1596.323966039867,1581.2072264157139,1566.233638070202,1551.4018454009274,1536.71050564266,1522.1582887457796
7 Non-metallics nes,220.0,225.0,200.0,207.0,204.0,211.0,168.0,91.0,255.0,318.0,243.0,246.0,240.0,238.0,208.0,210.0,206.43742542768817,202.935288653392,201.05933128440088,199.20071548312634,197.35928094210317,195.5348688357667,193.72732180675445,195.07530422732384,196.43266610242352,197.79947269564002,199.17578972467317,200.56168336449602,200.67540865213098,200.78919842586734,200.90305272227087,201.01697157792816,201.13095502944634,203.29100254057315,205.47424789933928,207.68094023921626,209.91133136924654,212.16567580277768,210.5388686046456,208.92453515680262,207.32257981518822,205.7329076691047,204.1554245355941,205.0418967675463,205.93221818949579,206.8264055151795,207.72447553090774,208.62644509587952,208.90193672043583,209.1777921322156,209.45401181160054,209.73059623960674,210.00754589788554,209.94485089442708,209.8821746077411,209.81951703224,209.7568781623377,209.69425799245008,209.37291253517785,209.0520595229725,208.73169820118787,208.4118278163341,208.09244761607607,207.4638401762223,206.83713163908203,206.21231626843377,205.589388345384,204.96834216831502,204.7871301790392,204.60607839882155,204.42518668602168,204.24445489912438,204.06388289673959,203.8834705376022,203.703217680572,203.52312418463364,203.34318990889636,203.16341471259398,202.98379845508478,202.8043409958514,202.62504219450062,202.4459019107635,202.26692000449495,202.0880963356739,201.909430764403,201.7309231509086,201.55257335554066,201.37438123877257,201.19634666120106,201.01846948354617,200.840749566651,200.66318677148172,200.4857809591274,200.30853199079996,200.131439727834,199.95450403168667,199.77772476393767,199.60110178628904
8 Ore-extra.(non-energy),31.0,44.0,45.0,75.0,62.0,65.0,54.0,102.0,36.0,36.0,37.0,38.0,37.0,38.0,39.0,39.0,38.18963139421028,37.396101180144896,37.15675975318324,36.91895015218344,36.68266257319804,36.44788727502648,36.21461457881358,36.86694157980848,37.53101882365908,38.20705796526694,38.89527447203329,39.595887692532926,39.60336944355552,39.61085260827541,39.61833718695967,39.6258231798755,39.63331058729013,39.624317190204586,39.615325833856744,39.60633651778352,39.59734924152196,39.588364004609176,39.896409792119535,40.20685255181071,40.51971093505164,40.83500373834169,41.15274990443993,41.6495052474293,42.152256930186034,42.66107733460016,43.17603971628437,43.697218215120785,44.13361707394563,44.57437419564768,45.019533105673695,45.469137764153885,45.92323257024294,46.32859881416819,46.73754324243537,47.150097439823384,47.56629326991125,47.9861628775391,48.376123324726365,48.769252792757385,49.165577034739115,49.565122013061625,49.96791390109883,50.085305786284245,50.20297346554692,50.32091758682239,50.439138799568404,50.55763775476853,50.92762495524449,51.3003197689436,51.675742010522576,52.0539116396443,52.434848762038996,52.81857363057318,53.20510664632639,53.59446835967588,53.98667947138914,54.38176083372451,54.77973345153982,55.18061848340908,55.584437242747434,55.99121119894431,56.40096197850485,56.81371136619969,57.229481306223185,57.64829390336008,58.07017142416074,58.49513629812497,58.92321111889449,59.35441864545417,59.78878180334199,60.226323685867946,60.66706755534179,61.1110368443098,61.55825515680062,62.00874626958014,62.46253413341566,62.91964287434921
"9 Food, drink & tob.",344.0,351.0,343.0,381.0,393.0,382.0,400.0,406.0,414.0,423.0,464.0,478.0,478.0,494.0,512.0,519.0,507.22644605812974,495.7199760708301,499.5131913805315,503.3354321140211,507.18692037185406,511.0678799540838,514.9785363732664,520.9006014225959,526.8907680566932,532.9498194189063,539.078547658445,545.2777540339462,541.3162438407751,537.3835145081738,533.4793569396375,529.603563557773,525.7559282932629,522.7394448786522,519.7402683011135,516.758299264026,513.7934390404761,510.8455894699868,514.5719970841083,518.325587302901,522.1065584122405,525.915110144416,529.7514436886811,537.6917855963084,545.751143752709,553.9313020694117,562.2340711966501,570.6612889241437,576.8345996826927,583.0746922020886,589.3822889153594,595.7581200706824,602.202923815928,608.1470392574879,614.1498267960854,620.2118655616192,626.3337404003576,632.5160419313638,638.0647365382825,643.6621066092209,649.3085791456567,655.004584894903,660.7505583829675,666.2568519755779,671.8090316726242,677.4074798610143,683.0525821142356,688.7447272189114,695.252054305025,701.8208632495576,708.4517349390798,715.1452557484347,721.9020175925923,728.7226179789925,735.6076600603835,742.5577526881593,749.5735104662011,756.6555538052272,763.8045089776566,771.021008172991,778.3056895537197,785.6591973117537,793.0821817253914,800.5752992168236,808.139212410182,815.7745901901354,823.4821077610399,831.2624467066478,839.116295050381,847.0443473161738,855.0473045898896,863.1258745813194,871.2807716867652,879.5127170522144,887.8224386371119,896.2106712787339,904.678156757171,913.2256438609237
"10 Tex., cloth. & footw.",169.0,172.0,106.0,147.0,145.0,132.0,108.0,108.0,91.0,91.0,98.0,96.0,100.0,96.0,92.0,94.0,87.936773575964,82.26463986117405,79.4424878954072,76.71715203108224,74.08531091711248,71.54375714392377,69.08939333460302,68.1645091929392,67.25200626688918,66.3517188119092,65.46348330224036,64.58713840120627,63.016705399454544,61.48445739666764,59.9894659265281,58.530825098330006,57.1076510480541,55.94301971927907,54.80213943098764,53.684525813654304,52.589704375798235,51.51721030253417,50.600814635108094,49.70071994776898,48.816636276300216,47.94827881441111,47.095367821986855,46.36906257390068,45.653958412838406,44.94988259552049,44.256665042716016,43.574138298157685,42.95293052969949,42.34057891093613,41.73695718557883,41.14194089729149,40.55540736402995,40.06853994788393,39.587517372076384,39.11226946933498,38.64272691474505,38.1788212156371,37.72920400225177,37.28488175691773,36.845792122843825,36.41187347759076,35.98306492442285,35.53754537360941,35.09754196408561,34.66298639847891,34.23381122503166,33.80994982713122,33.383764820508716,32.962952009373,32.54744367551742,32.13717295434454,31.73207382410611,31.332081095278685,30.937130400073194,30.5471581820767,30.16210168602476,29.781898947702686,29.406488783974133,29.035810782935346,28.669805294193537,28.308413419267808,27.951577002111048,27.599238619751343,27.25134157305132,26.907829877583993,26.56864825462361,26.233742122250074,25.90305758656548,25.57654143302139,25.25414111785541,24.935804759635737,24.62148113091225,24.311119649972895,24.00467037270393,23.70208398455282,23.4033117925924,23.108305717685106
