,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Male Children,921.462,918.6010000000001,917.491,918.145,918.678,920.086,927.758,936.451,954.482,961.668,967.009,971.5909999999999,977.2860000000001,982.958,986.518,989.595,987.8409435007013,984.1792633043257,978.9739336133996,972.7285351738844,964.203561317998,955.6147673279698,946.2890502265252,937.9545395834676,930.1595085118261,923.3068216083694,916.5398930101654,911.424310382876,906.7355249026588,903.4677345966884,901.3626673596109,900.6766009175884,900.5539465972848,900.6875700031441,901.1412912693071,901.9360513772893,903.0638728103235,904.4409916423481,906.000596170434,907.6300039702372,909.2294960821619,910.7093254425705,911.9518236791404,912.8722296762141,913.3788019909631,913.3907682661147,912.8672437282344,911.7783126894428,910.6906806027338,909.6043459186275,908.5193070894926,907.4355625695439,906.3531108148401,905.2719502832816,904.1920794346084,903.1134967303979,902.0362006340621,900.9601896108466,899.8854621278274,898.8120166539093,897.7398516598233,896.6689656181247,895.5993570031909,894.5310242912191,893.4639659602242,892.3981804900366,891.3336663623,890.2704220604696,889.2084460698094,888.1477368773902,887.0882929720877,886.0301128445802,884.9731949873462,883.9175378946627,882.8631400626027,881.8099999890334,880.7581161736134,879.7074871177915,878.6581113248038,877.609987299672,876.5631135492009,875.5174885819767,874.4731109083646,873.4299790405065,872.3880914923195,871.3474467794932,870.308043419488,869.2698799315324,868.2329548366215,867.1972666575147,866.1628139187333,865.1295951465588,864.0976088690309,863.0668536159448,862.0373279188497,861.0090303110462,859.981959327585,858.9561135052636
2 Male 15-19,308.92,311.969,316.197,323.106,328.31,332.87,333.564,332.183,331.79,328.574,324.983,321.869,320.829,325.646,324.58,323.197,326.3122840946292,328.8426414095556,333.8155172055962,339.87839307575894,347.18199247351674,351.8454360140832,355.972863034683,357.6308210228852,357.8773686586985,355.17233184471417,352.6799049352976,348.0464064517125,344.2074501467,339.7356549708144,335.313768223231,329.83581913277123,325.68743057228454,321.9193442354612,319.36203636925165,317.67113881836997,316.93848309089225,316.3705251768122,315.6248932579758,314.8043986966861,314.00286933815124,313.3121366904475,312.7880981932734,312.4796641063652,312.4247648352327,312.6553417739893,313.16540591123874,313.93100120139593,314.6984681419246,315.4678113084474,316.2390352877729,317.01214467792306,317.78714408816074,318.56403813901693,319.3428314623185,320.12352870121566,320.9061345102098,321.69065355518126,322.47709051341684,323.265450073638,324.0557369360288,324.84795581226365,325.6421114255358,326.4382085105852,327.2362518137267,328.0362460928786,328.83819611759094,329.64210666907366,330.4479825402255,331.2558285356623,332.06564947174587,332.8774501766124,333.69123549020156,334.50701026428516,335.32477936249614,336.14454766035755,336.96632004531165,337.790101416749,338.61589668603773,339.4437107765528,340.27354862370527,341.1054151749719,341.9393153899244,342.7752542402593,343.61323670982733,344.4532677946633,345.2953525030158,346.13949585537705,346.9857028845129,347.8339786354927,348.6843281657197,349.53675654496084,350.39126885537706,351.2478701915538,352.10656566053103,352.9673603818341,353.830259487504,354.69526812212797
3 Male 20-24,326.231,325.731,322.98,320.284,319.982,321.424,326.344,331.542,344.647,350.507,354.898,353.686,351.908,351.721,346.753,342.874,343.2433746216313,344.5301633850315,344.1507514095516,343.1640795262267,343.1389861416051,345.0902477297876,346.82470247483883,351.14979824823337,356.6904175727024,363.5961170205915,368.0687618955615,372.02548678270955,373.51201888769845,373.6043625431062,370.80394081932565,368.22935955714024,363.62221414059803,359.88530730273595,355.5290957324106,351.2009887528616,345.8601127699811,341.7437939566391,337.976775057231,335.3750929396542,333.62959710536944,332.7523323789952,332.0948857019069,331.2708189509306,330.3825131353228,329.5193007043367,328.77653651953466,328.205411085545,327.6352777669441,327.0661348403051,326.49798058519485,325.93081328416883,325.364631222766,324.7994326895034,324.23521597587137,323.6719793763279,323.1097211882938,322.54843971214757,321.98813325122,321.4288001117893,320.8704386030759,320.31304703723725,319.75662372936284,319.20116699746904,318.6466751624941,318.0931465482929,317.54057948163205,316.98897229218477,316.4383233125258,315.8886308781265,315.33989332734956,314.7921090014443,314.24527624454146,313.6993934036482,313.15445882864304,312.6104708722712,312.0674278901392,311.52532824071005,310.98417028529843,310.4439523880656,309.9046729160145,309.36633023898463,308.82892272964745,308.29244876350117,307.75690671886605,307.22229497687937,306.6886119214905,306.1558559394563,305.6240254203358,305.0931187564857,304.5631343430553,304.0340705779818,303.50592586198536,302.9786985985642,302.45238719399003,301.9269900573029,301.40250560030654,300.8789322375638
4 Male 25-29,330.683,328.486,330.174,335.194,340.168,343.935,346.023,345.261,351.045,351.17,352.459,354.157,357.776,366.995,370.223,373.749,371.9815565261227,368.09377900321135,363.8142331299144,359.9065182863728,357.20301760890214,355.8851607152384,356.09151198376213,354.9241818608572,353.3900050383545,352.99624295590576,354.65104056822184,356.14833334755843,360.0999102964868,365.1739583969018,371.55091040050786,375.6749451728884,379.2875876711014,380.5107422917711,380.43099300924996,377.63777438894283,375.1266688555548,370.79229535052445,367.38301352274067,363.39255879858325,359.4031009404573,354.46462662032843,350.55591491075535,346.92532882397506,344.3454395344123,342.58198352466104,341.5841206271138,340.8564084241073,340.1302465421445,339.40563167841515,338.68256053714526,337.96102982958223,337.2410362739798,336.52257659558313,335.80564752661405,335.09024580625595,334.37636818063913,333.66401140282596,332.9531722327961,332.24384743743167,331.53603379050276,330.82972807265253,330.1249270713828,329.42162758103916,328.7198264027967,328.0195203446452,327.3207062213747,326.623380854561,325.9275410725513,325.23318371044974,324.5403056101028,323.84890362008525,323.15897459568566,322.4705153988921,321.7835228983777,321.0979939694869,320.4139254942206,319.7313143612226,319.05015746576487,318.37045170973386,317.6921940016162,317.0153812564848,316.3400103959845,315.6660783483185,314.993582048234,314.3225184370085,313.6528844624359,312.9846770788124,312.31789324692284,311.6525299340268,310.9885841138448,310.32605276654465,309.6649328787275,309.00522144341426,308.34691546003205,307.69001193440033,307.0345078787174,306.38040031154685
5 Male 30-34,374.781,370.439,363.568,354.866,348.958,346.326,346.948,351.2,364.728,368.548,371.237,369.993,367.501,366.115,364.079,364.545,369.0482693404606,374.17336215185543,377.66468310490376,380.16484913055524,378.9697202620557,375.35066805462753,370.4780672577044,365.63715173318565,361.45469577581855,358.6376770261241,357.34848250517433,357.57523023581757,356.46426537214194,354.9889198758169,354.5809719936116,356.03255353563344,357.3316497042095,360.9299084516224,365.5896238245791,371.48803531559133,375.317002452698,378.64593638467426,379.70937333974354,379.58362241488896,376.9270103567412,374.59814283502556,370.65035592640277,367.639264883232,364.08556355013775,360.4981966151139,356.00779941656754,352.3659734195988,348.76140193394673,345.1937038599612,341.66250199649824,338.16742300103977,334.70809735022146,331.2841593007641,327.8952468508047,324.54100170162343,321.22106921976155,317.9350983995274,314.6827418258857,311.46365563772633,308.2774994915091,305.1239365252804,302.0026333230577,298.9132598795788,295.85548956541123,292.8289990924189,289.83346847958177,286.8685810191655,283.9340232432368,281.02948489052164,278.15465887360205,275.309241246449,272.4929311722872,269.7054308917883,266.9464456915902,264.2156838731377,261.5128567218421,258.83767847655656,256.18986629936325,253.56914024567,250.9752232346127,248.40784101976024,245.86672216011942,243.3515979914365,240.862202597792,238.3982727834864,235.95954804521324,233.54577054451704,231.1566850805328,228.79203906300447,226.45158248557934,224.1350678993758,221.84225038682126,219.57288753575787,217.32673941381307,215.10356854303228,212.90313987477114,210.7252207648446
6 Male 35-39,407.125,400.179,392.326,388.525,386.354,385.287,382.905,378.01,375.814,369.691,365.998,364.221,366.816,372.702,375.095,376.96,375.08398041134063,371.9636111221587,370.77923008190226,370.50337424467796,372.7202157191833,375.5997108896295,379.52366022637784,381.9773779089345,383.6574998740577,382.04234395755617,378.41723844446744,373.6367367435842,368.9771718409045,364.9872569778633,362.3006609979398,361.0763008508393,361.31217758121943,360.2337411740999,358.80848601510775,358.400699125298,359.7300044278643,360.908388602094,364.3176069382246,368.76128466394636,374.41832828238637,378.11039879943894,381.3057289139536,382.30720554039834,382.1832703091816,379.62060956047486,377.41576181802276,373.712697046588,370.0459653859788,366.4152103490625,362.8200789464272,359.26022165206354,355.73529236938276,352.24494839756875,348.78885039825985,345.3666623625577,341.9780515783598,338.62268859801253,335.30024720628165,332.01040438863686,328.7528402998477,325.5272382328877,322.33328458814333,319.1706688429251,316.0390835212782,312.9382241640888,309.8677892994841,306.82748041352255,303.8170019211716,300.8360611375705,297.8843682495748,294.9616362875801,292.0675810976224,289.2019213137518,286.36437833067794,283.55467627668304,280.7725419868013,278.0177049762611,275.2898974141881,272.58885409756607,269.9143124254533,267.2660123734521,264.6436964684285,262.0471097634804,259.475999813151,256.9301166488856,254.40921275472897,251.91304304326164,249.44136483177175,246.9939378186611,244.5705240600824,242.17088794680598,239.7947961813134,237.44201775511564,235.1123239262942,232.80548819726218,230.52128629274378,228.25949613796982
7 Male 40-44,404.869,408.212,411.79,413.953,413.681,411.776,406.619,400.823,401.527,399.382,397.279,393.188,387.498,379.882,372.835,368.851,371.5170527502462,376.30974292326766,379.45816707952696,380.5189838645348,379.4591678500788,376.57494711951966,372.9121268995868,371.2558516362019,370.6383762056831,372.59087955242865,375.26794077874575,378.96078411523547,381.1734878054736,382.627607417376,380.9373059552266,377.3685581671717,372.6899558370663,368.1914922063017,364.36654715696193,361.7975691502495,360.6366753100521,360.87886178361055,359.84206349184814,358.46100013023414,358.07069961499536,359.31866049320746,360.4215096413949,363.6840216405701,367.95831266771035,373.4135129460858,376.997272292419,380.0866509861165,383.2013462044007,386.3415654085382,389.5075177598781,392.69941413378353,395.9174671336774,399.16189110520355,402.4329021505035,405.73071814261044,409.0555587399614,412.4076454010277,415.787201399066,419.1944518369898,422.6296236623629,426.09294568251585,429.58464857978606,433.104964926883,436.6541292023791,440.23237780632803,443.83994907601027,447.47708330180825,451.14402274321156,454.8410116449531,458.56829625327737,462.32612483234254,466.1147476807565,469.9344171482486,473.7853876524779,477.66791569597916,481.5822598832481,485.5286809379661,489.5074417203661,493.5188072447413,497.56304469709704,501.64042345294706,505.75121509525604,509.8956934325291,514.0741345170491,518.286816663264,522.5340204663246,526.816028820774,531.1331269393909,535.485602372186,539.8737450255559,544.2978471815921,548.7582035175499,553.2551111254752,557.7888695319938,562.3597807182614,566.9681491400781,571.6142817481674
8 Male 44-49,375.847,382.008,388.331,393.789,399.335,404.072,408.775,413.826,418.826,418.731,416.26,410.637,404.305,401.497,398.366,396.214,391.18735262768655,382.94050928248487,377.0146639727765,373.2708588986055,372.0232595207417,373.67766289267894,377.73664036819883,380.29829720216634,380.9759682120956,379.7424660023432,376.9149768554169,373.37054601596515,371.77253131647365,371.19555436448337,373.1238455740147,375.7056412195698,379.24805817786284,381.3153071873499,382.63037158403284,380.89742684690316,377.3711209378804,372.7633608465931,368.3771276827716,364.6715863506175,362.187463941263,361.0788223633549,361.3406269139963,360.347783502718,359.01560111618545,358.64504698297003,359.8584103811346,360.9237535141289,361.9922505430953,363.0639108049877,364.1387436644017,365.2167585136564,366.2979647728761,367.38237189007333,368.4699893412306,369.5608266303838,370.6548932897051,371.7521988795861,372.8527529887215,373.9565652341928,375.0636452615525,376.17400274490825,377.2876473870074,378.4045889193217,379.5248371021327,380.6484017246166,381.77529260493,382.9055195902956,384.03909255708857,385.17602141092226,386.3163160867354,387.4599865488785,388.6070427912009,389.7574948371385,390.91135273980086,392.0686265820595,393.22932647663555,394.39346256618853,395.56104502340474,396.73208405108625,397.9065898822399,399.08457278016704,400.2660430385528,401.4510109815565,402.63948696390145,403.83148137096566,405.0270046188726,406.226067154582,407.42867945598147,408.6348520319778,409.8445954225889,411.05792019903595,412.2748369638356,413.4953563508928,414.71948902559365,415.9472456848985,417.17863705743576,418.41367390359517
9 Male 50-54,348.258,349.78,353.204,357.987,364.663,370.283,377.22,384.169,391.809,397.456,401.712,406.163,410.91,413.357,413.181,410.783,405.2537790696243,402.34206645680996,399.9672008569832,397.69950245748925,394.22263451461816,388.77328347883014,380.5294971437994,374.59688269519006,370.8531077628111,369.6004647325065,371.19685161293495,375.1519279120078,377.6339607121674,378.2971841406418,377.1072238124186,374.3997354870308,370.9956603594801,369.48723146423043,368.97565973434007,370.9077023743013,373.4412967519794,376.89693345704865,378.8906477877675,380.1372247501286,378.41142842024175,374.9628687944397,370.4689234597314,366.21458780878595,362.64571783544056,360.2647861676704,359.22344450405967,359.5348359918191,359.846497408115,360.1584289869339,360.4706309624653,360.7831035691014,361.0958470414378,361.40886161427346,361.7221475226108,362.0357050016559,362.34953428681894,362.6636356137139,362.97800921815923,363.29265533617763,363.6075742039965,363.9227660580479,364.238231134969,364.55396967160203,364.86998190499446,365.1862680723993,365.50282841127523,365.81966315928673,366.13677255430434,366.4541568344048,366.7718162378712,367.08975100319316,367.4079613690671,367.7264475743963,368.0452098582911,368.3642484600693,368.6835636192559,369.00315557558366,369.32302456899316,369.64317083963294,369.9635946278597,370.2842961742386,370.60527571954316,370.92653350475575,371.24806977106755,371.56988475987885,371.8919787127992,372.2143518716476,372.5370044784526,372.85993677545275,373.1831490050963,373.5066414100419,373.83041423315836,374.15446771752516,374.47880210643245,374.8034176433813,375.12831457208375,375.45349313646324
10 Male 55-59,305.293,318.127,327.606,336.999,335.595,337.939,339.739,343.475,349.491,355.833,361.258,367.717,374.636,380.606,385.904,390.754,395.56915410227015,397.99548636618556,398.08827531362573,396.03211172300905,391.7934336346229,386.4037777513932,383.60530258125476,381.3349347183558,379.1178711444118,375.8238635102841,370.81622169789875,363.2479997827482,357.84551138551086,354.4942509965796,353.46370141011585,355.0687527775392,358.88198367074733,361.2895607218823,361.9884391770704,360.94012149428835,358.4822015035847,355.3698232984889,354.05202282154534,353.6739572165496,355.6047570164758,358.08340645288416,361.41492451257284,363.3536212441961,364.57468430785093,362.98246545443527,359.7694013702021,355.5623110086042,351.40441774170984,347.2951462659436,343.2339280052452,339.2202010323992,335.253409991284,331.3330060200307,327.4584466750803,323.6291958561288,319.84472373195,316.10450666708624,312.4080271493956,308.75477371844687,305.14424089475176,301.5759291098247,298.0493446370603,294.56399952341934,291.1194115219135,287.71510402487974,284.3506059980348,281.02545191530083,277.73918169439344,274.49134063316257,271.28147934667817,268.1091537050513,264.9739247719825,261.87535874402874,258.81302689058043,255.78650549454065,252.79537579369773,249.8392239227836,246.9176408562096,244.0302223514721,241.1765688932197,238.35628563797465,235.56898235950064,232.81427339480945,230.091777590799,227.40111825151547,224.74192308603196,222.11382415693683,219.5164578294243,216.94946472098044,214.41248965165747,211.90518159492953,209.4271936291233,206.97818288941636,204.55781052039694,202.16574162917857,199.80164523906282,197.465194243744
