,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,608.1315,810.2347,879.908,873.5212,877.0507,881.3365,885.4543,891.2528,1144.5531,1043.2222,712.9646,755.877,801.6278,850.3463,901.9083,956.8402,1015.4501,1077.5679,1143.8347,1214.0935,1288.7014,1345.8317,1405.6256,1467.9679,1533.2643,1601.4795,1672.3641,1746.1405,1823.3899,1904.1625,1988.3651,2076.8662,2169.3206,2266.0122,2366.9563,2472.4778,2584.2439,2700.5347,2821.1624,2947.1282,3078.772,3205.1292,3331.9331,3470.8665,3609.4075,3761.2661,3911.583,4074.2686,4242.6641,4418.2676,4601.1631,4792.5786,4992.2622,5201.1763,5419.1772,5646.9429,5884.4688,6132.3091,6380.5659,6644.3457,6928.2715
2 O.energy own use & tra,608.1315,803.964,875.8674,870.92,873.5959,876.6296,879.7221,883.3768,1132.8984,1029.1202,695.9066,737.8254,782.5103,830.09,880.4888,934.1366,991.3896,1052.0535,1116.7697,1185.405,1258.2683,1313.9448,1372.1881,1432.9069,1496.5072,1562.9293,1631.9482,1703.7621,1778.9519,1857.5679,1939.5172,2025.6437,2115.6023,2209.6772,2307.9075,2410.5698,2519.3071,2632.4722,2749.7561,2872.2571,3000.2422,3126.5994,3253.4033,3392.3367,3530.8777,3682.7363,3833.0532,3995.7388,4164.1338,4339.7378,4522.6333,4714.0488,4913.7324,5122.6465,5340.6475,5568.4131,5805.939,6053.7793,6302.0361,6565.8159,6849.7417
3 Hydrogen production,608.1315,779.1414,857.8065,857.8065,857.8065,857.8065,857.8065,857.8065,1104.1318,994.3132,653.8032,693.2701,735.3234,780.0922,827.6204,878.0984,932.0023,989.0779,1049.9666,1114.595,1183.1522,1235.2404,1289.656,1346.3678,1405.7817,1467.7782,1532.1921,1599.1616,1669.2679,1742.5613,1818.9486,1899.2141,1983.0128,2070.6287,2162.1606,2257.7659,2359.0273,2464.4775,2573.5083,2687.457,2806.4114,2932.7686,3059.5725,3198.5059,3337.0469,3488.9055,3639.2224,3801.908,3970.3032,4145.9067,4328.8022,4520.2178,4719.9014,4928.8154,5146.8164,5374.582,5612.1079,5859.9482,6108.2051,6371.9849,6655.9106
4 Iron & steel,608.1315,810.2347,879.908,873.5212,877.0507,881.3365,885.4543,891.2528,1144.5531,1043.2222,712.9646,755.877,801.6278,850.3463,901.9083,956.8402,1015.4501,1077.5679,1143.8347,1214.0935,1288.7014,1345.8317,1405.6256,1467.9679,1533.2643,1601.4795,1672.3641,1746.1405,1823.3899,1904.1625,1988.3651,2076.8662,2169.3206,2266.0122,2366.9563,2472.4778,2584.2439,2700.5347,2821.1624,2947.1282,3078.772,3205.1292,3331.9331,3470.8665,3609.4075,3761.2661,3911.583,4074.2686,4242.6641,4418.2676,4601.1631,4792.5786,4992.2622,5201.1763,5419.1772,5646.9429,5884.4688,6132.3091,6380.5659,6644.3457,6928.2715
5 Non-ferrous metals,608.1315,824.6972,887.3242,877.1321,881.2798,887.7626,893.5988,901.775,1157.6981,1059.1274,732.2039,776.2366,823.19,873.193,926.0667,982.447,1042.5873,1106.3447,1174.3606,1246.4504,1323.026,1381.796,1443.339,1507.5122,1574.7217,1644.9591,1717.9481,1793.9381,1873.5104,1956.7152,2043.4595,2134.6387,2229.908,2329.551,2433.5559,2542.3022,2657.4841,2777.3003,2901.6995,3031.5732,3167.3438,3293.7009,3420.5049,3559.4382,3697.9792,3849.8379,4000.1548,4162.8403,4331.2354,4506.8394,4689.7349,4881.1504,5080.834,5289.748,5507.749,5735.5146,5973.0405,6220.8809,6469.1377,6732.9175,7016.8433
6 Chemicals,608.1315,794.8261,868.4255,864.6253,865.514,867.2118,868.7718,874.329,1123.6068,1017.8776,682.3072,723.4341,767.2689,813.9407,863.4123,916.0363,972.2075,1031.7124,1095.1923,1162.5333,1234.0057,1288.5232,1345.5302,1404.9547,1467.2029,1532.1954,1599.7271,1669.9761,1743.5239,1820.4207,1900.5735,1984.8069,2072.7759,2164.7644,2260.8313,2361.2141,2467.5366,2578.2097,2692.8281,2812.5667,2937.6348,3063.9919,3190.7959,3329.7292,3468.2703,3620.1289,3770.4458,3933.1313,4101.5264,4277.1304,4460.0259,4651.4414,4851.125,5060.0391,5278.04,5505.8057,5743.3315,5991.1719,6239.4287,6503.2085,6787.1343
7 Non-metallics nes,608.1315,816.5555,884.394,874.2916,877.3843,882.1367,885.7971,893.4268,1145.9113,1044.8655,714.9524,757.9805,803.8556,852.7069,904.4044,959.4859,1018.2539,1080.541,1146.9886,1217.4368,1292.2478,1349.5476,1409.5222,1472.0536,1537.5477,1605.9718,1677.074,1751.0791,1828.5684,1909.5923,1994.0576,2082.8352,2175.5806,2272.5771,2373.8374,2479.6921,2591.811,2708.4661,2829.4836,2955.8533,3087.9233,3214.2805,3341.0845,3480.0178,3618.5588,3770.4175,3920.7344,4083.4199,4251.8154,4427.4189,4610.3145,4801.73,5001.4136,5210.3276,5428.3286,5656.0942,5893.6201,6141.4604,6389.7173,6653.4971,6937.4229
8 Ore-extra.(non-energy),608.1315,779.1414,857.8065,857.8065,857.8065,857.8065,857.8065,857.8065,1104.1318,994.3132,653.8032,693.2701,735.3234,780.0922,827.6204,878.0984,932.0023,989.0779,1049.9666,1114.595,1183.1522,1235.2404,1289.656,1346.3678,1405.7817,1467.7782,1532.1921,1599.1616,1669.2679,1742.5613,1818.9486,1899.2141,1983.0128,2070.6287,2162.1606,2257.7659,2359.0273,2464.4775,2573.5083,2687.457,2806.4114,2932.7686,3059.5725,3198.5059,3337.0469,3488.9055,3639.2224,3801.908,3970.3032,4145.9067,4328.8022,4520.2178,4719.9014,4928.8154,5146.8164,5374.582,5612.1079,5859.9482,6108.2051,6371.9849,6655.9106
"9 Food, drink & tob.",608.1315,779.1414,857.8065,857.8065,857.8065,857.8065,857.8065,857.8065,1104.1318,994.3132,653.8032,693.2701,735.3234,780.0922,827.6204,878.0984,932.0023,989.0779,1049.9666,1114.595,1183.1522,1235.2404,1289.656,1346.3678,1405.7817,1467.7782,1532.1921,1599.1616,1669.2679,1742.5613,1818.9486,1899.2141,1983.0128,2070.6287,2162.1606,2257.7659,2359.0273,2464.4775,2573.5083,2687.457,2806.4114,2932.7686,3059.5725,3198.5059,3337.0469,3488.9055,3639.2224,3801.908,3970.3032,4145.9067,4328.8022,4520.2178,4719.9014,4928.8154,5146.8164,5374.582,5612.1079,5859.9482,6108.2051,6371.9849,6655.9106
"10 Tex., cloth. & footw.",608.1315,779.1414,857.8065,857.8065,857.8065,857.8065,857.8065,857.8065,1104.1318,994.3132,653.8032,693.2701,735.3234,780.0922,827.6204,878.0984,932.0023,989.0779,1049.9666,1114.595,1183.1522,1235.2404,1289.656,1346.3678,1405.7817,1467.7782,1532.1921,1599.1616,1669.2679,1742.5613,1818.9486,1899.2141,1983.0128,2070.6287,2162.1606,2257.7659,2359.0273,2464.4775,2573.5083,2687.457,2806.4114,2932.7686,3059.5725,3198.5059,3337.0469,3488.9055,3639.2224,3801.908,3970.3032,4145.9067,4328.8022,4520.2178,4719.9014,4928.8154,5146.8164,5374.582,5612.1079,5859.9482,6108.2051,6371.9849,6655.9106
