RTI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
11 Austria (AT),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 Portugal (PT),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13 Finland (FI),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Sweden (SW),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 UK (UK),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Czech Rep. (CZ),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Estonia (EN),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Cyprus (CY),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Latvia (LV),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 Lithuania (LT),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Hungary (HU),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Malta (MT),0.05000000074505806,0.05999999865889549,0.07000000029802322,0.07999999821186066,0.10000000149011612,0.11999999731779099,0.15000000596046448,0.18000000715255737,0.20999999344348907,0.25,0.28999999165534973,0.33000001311302185,0.3799999952316284,0.4300000071525574,0.47999998927116394,0.5199999809265137,0.5699999928474426,0.6299999952316284,0.6899999976158142,0.75,0.800000011920929,0.8500000238418579,0.8999999761581421,0.9300000071525574,0.9599999785423279,0.9700000286102295,0.9800000190734863,0.9900000095367432,0.9900000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
