,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4815563902532986,0.0240778195126649,48497.92930752192,2424.8964653760954,25.0,1,-0.05,0.05,0.5377809223085153,159.56286903494342,31.91257380698868,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0529712029278628,0.0026485601463931,10176.249638832707,508.8124819416355,25.0,1,-0.05,0.05,0.4375180785812862,393.6712806117511,78.73425612235023,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0529712029278628,0.0026485601463931,11213.136858326108,560.6568429163054,25.0,1,-0.05,0.05,0.6637734305941128,240.7016745716775,48.1403349143355,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.5952036983530772,0.0297601849176538,48497.92930752192,2424.8964653760954,25.0,1,-0.05,0.05,0.5588885543551161,96.29667989546029,19.25933597909205,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0770490224405277,0.0038524511220263,8628.912645670809,431.4456322835405,25.0,1,-0.05,0.05,0.9,2092.556480495596,418.5112960991193,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.9631127805065972,0.0481556390253298,0.0,0.0,20.0,1,-0.05,0.05,0.6933385736552439,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),1.0526822690937108,0.0526341134546855,29581.71679861312,1479.0858399306562,20.0,1,-0.432959407,0.05,3.0,2092.556480495596,418.5112960991193,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.2118848117114514,0.0105942405855725,6060.656842916305,303.03284214581527,15.0,1,-0.05,0.05,0.2457392545951674,159.56286903494342,31.91257380698868,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0144466917075989,0.0007223345853799,2539.052472117885,126.95262360589425,15.0,1,-0.05,0.05,0.3024330841005651,393.6712806117511,78.73425612235023,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0144466917075989,0.0007223345853799,2539.052472117885,126.95262360589425,15.0,1,-0.05,0.05,0.4400011914825747,240.7016745716775,48.1403349143355,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.2118848117114514,0.0105942405855725,6060.656842916305,303.03284214581527,15.0,1,-0.05,0.05,0.1128926314344516,96.29667989546029,19.25933597909205,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0577867668303958,0.0028893383415197,1519.6763941057498,75.98381970528749,12.5,1,-0.05,0.05,0.4108900612872556,2092.556480495596,418.5112960991193,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.9631127805065972,0.0481556390253298,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
