,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4577077993409008,0.02288538996704504,46096.11863786159,2304.80593189308,25.0,1,-0.05,0.05,0.5446464160611352,82.01068144943213,16.40213628988643,0,0.95,0.1,-0.05
Indirect Heating Oil,0.05034785792749908,0.002517392896374954,9672.281215671917,483.6140607835958,25.0,1,-0.05,0.05,0.48593603242395766,95.8655354245538,19.173107084910765,0,0.95,0.1,-0.05
Indirect Heating Gas,0.05034785792749908,0.002517392896374954,10657.817649212742,532.8908824606372,25.0,1,-0.05,0.05,0.5315423511636793,473.3614115738237,94.67228231476471,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.5657268399853533,0.028286341999267668,46096.11863786159,2304.80593189308,25.0,1,-0.05,0.05,0.44751461333330306,101.6992969172526,20.33985938345052,0,0.9,0.1,-0.05
Indirect Heating Electric,0.07323324789454412,0.003661662394727206,8201.574514829732,410.0787257414866,25.0,1,-0.05,0.05,0.9,874.7888948981433,174.95777897962864,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.9154155986818016,0.04577077993409008,0.0,0.0,20.0,1,-0.05,0.05,0.5738624662972501,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),1.0005492493592092,0.05002746246796045,28116.712332478946,1405.835616623947,20.0,1,-0.432959407,0.05,3.0,874.7888948981433,174.95777897962864,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.20139143170999632,0.010069571585499816,5760.508971072867,288.0254485536433,15.0,1,-0.05,0.05,0.2688881401792873,82.01068144943213,16.40213628988643,0,0.9,0.1,-0.05
Direct Heating Oil,0.013731233980227022,0.0006865616990113512,2413.308478396192,120.66542391980957,15.0,1,-0.05,0.05,0.34388935122550573,95.8655354245538,19.173107084910765,0,0.9,0.1,-0.05
Direct Heating Gas,0.013731233980227022,0.0006865616990113512,2413.308478396192,120.66542391980957,15.0,1,-0.05,0.05,0.3657305157760024,473.3614115738237,94.67228231476471,0,0.95,0.1,-0.05
Direct Heating Biomass,0.20139143170999632,0.010069571585499816,5760.508971072867,288.0254485536433,15.0,1,-0.05,0.05,0.11289263143445169,101.6992969172526,20.33985938345052,0,0.9,0.1,-0.05
Direct Heating Electric,0.05492493592090809,0.002746246796045405,1444.4159648480409,72.22079824240205,12.5,1,-0.05,0.05,0.44778417802038817,874.7888948981433,174.95777897962864,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.9154155986818016,0.04577077993409008,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.1,-0.05
