,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.3445899379738112,0.0172294968986905,34703.92832529289,1735.1964162646448,25.0,1,-0.05,0.05,0.5285272106761095,114.14459419193656,22.82891883838731,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0379048931771192,0.0018952446588559,7281.874569262578,364.0937284631289,25.0,1,-0.05,0.05,0.2187718614516213,104.45035412225816,20.890070824451627,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0379048931771192,0.0018952446588559,8023.845623707788,401.1922811853895,25.0,1,-0.05,0.05,0.6397677218656751,142.0986213298494,28.41972426596989,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.4259131633356305,0.0212956581667815,34703.92832529289,1735.1964162646448,25.0,1,-0.05,0.05,0.5507285603499311,100.82555181186832,20.16511036237366,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0551343900758097,0.0027567195037904,6174.638180565127,308.7319090282564,25.0,1,-0.05,0.05,0.9,816.0982603314308,163.2196520662862,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.6891798759476223,0.0344589937973811,0.0,0.0,20.0,1,-0.05,0.05,0.7195951949914385,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),0.7532736044107512,0.0376636802205375,21167.95075947621,1058.397537973811,20.0,1,-0.432959407,0.05,3.0,816.0982603314308,163.2196520662862,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.1516195727084769,0.0075809786354238,4336.857339765678,216.842866988284,15.0,1,-0.05,0.05,0.2688881401792873,114.14459419193656,22.82891883838731,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0103376981392143,0.0005168849069607,1816.8836538938665,90.84418269469332,15.0,1,-0.05,0.05,0.1516366083953651,104.45035412225816,20.890070824451627,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0103376981392143,0.0005168849069607,1816.8836538938665,90.84418269469332,15.0,1,-0.05,0.05,0.4361939290675968,142.0986213298494,28.41972426596989,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.1516195727084769,0.0075809786354238,4336.857339765678,216.842866988284,15.0,1,-0.05,0.05,0.1128926314344516,100.82555181186832,20.16511036237366,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0413507925568573,0.0020675396278428,1087.443142660234,54.37215713301171,12.5,1,-0.05,0.05,0.5552875045646825,816.0982603314308,163.2196520662862,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.6891798759476223,0.0344589937973811,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
